"","mediator","lhs","op","rhs","label","est.std","se","z","pvalue","ci.lower","ci.upper","pvalue_adj"
"16","heart_latent_pc2","cog_latent_g","~","cov_age","",-0.152267074623276,0.00860621726447884,-17.6926830852552,0,-0.169134950504781,-0.135399198741771,0
"17","heart_latent_pc2","cog_latent_g","~","cov_sex","",0.0664437515092407,0.0118613722498816,5.6016917865388,2.12269750665683e-08,0.04319588909225,0.0896916139262314,2.12269750665683e-08
"18","heart_latent_pc2","de",":=","c","de",-0.00564863554534732,0.0117830844357364,-0.479385136901491,0.63166466519292,-0.0287430566661851,0.0174457855754905,0.63166466519292
"19","heart_latent_pc2","ie",":=","a*b","ie",-0.0404192436976201,0.00581050003488591,-6.95624188192846,3.49476003691507e-12,-0.0518076144981653,-0.029030872897075,1.74738001845753e-11
"20","heart_latent_pc2","te",":=","c+a*b","te",-0.0460678792429675,0.0102688858212032,-4.48616140495463,7.25178140292826e-06,-0.0661945256138797,-0.0259412328720552,7.25178140292826e-06
"21","heart_latent_pc3","heart_latent_pc3","~","cardio_latent_gvrf","a",-0.117755671560839,0.0101314816829188,-11.6227492923734,0,-0.137613010769387,-0.0978983323522904,0
"22","heart_latent_pc3","heart_latent_pc3","~","cov_age","",0.12890497942959,0.00855856342526145,15.0615206109374,0,0.112130503356676,0.145679455502504,0
"23","heart_latent_pc3","heart_latent_pc3","~","cov_sex","",0.219912452733223,0.00975084861108426,22.5531603970589,0,0.200801140636795,0.23902376482965,0
"24","heart_latent_pc3","cog_latent_g","~","cardio_latent_gvrf","c",-0.0438967125921589,0.0103196941209784,-4.25368349851798,2.10282466588385e-05,-0.0641229414007463,-0.0236704837835715,2.10282466588385e-05
"25","heart_latent_pc3","cog_latent_g","~","heart_latent_pc3","b",0.0184378963206063,0.00874308650934578,2.1088543846498,0.0349571526037815,0.00130176164857059,0.0355740309926421,0.0349571526037815
"26","heart_latent_pc3","cog_latent_g","~","cov_age","",-0.16048116092034,0.00863726869602622,-18.5800820338231,0,-0.177409896489346,-0.143552425351333,0
"27","heart_latent_pc3","cog_latent_g","~","cov_sex","",0.106431868054932,0.0102050440415996,10.4293394150065,0,0.086430349272752,0.126433386837113,0
"28","heart_latent_pc3","de",":=","c","de",-0.0438967125921589,0.0103196941209784,-4.25368349851798,2.10282466588385e-05,-0.0641229414007463,-0.0236704837835715,4.2056493317677e-05
"29","heart_latent_pc3","ie",":=","a*b","ie",-0.00217116686340211,0.00104650902944934,-2.07467570972087,0.0380166000701232,-0.00422228687061879,-0.000120046856185435,0.0422406667445813
"30","heart_latent_pc3","te",":=","c+a*b","te",-0.046067879455561,0.0102688858281283,-4.48616142263193,7.25178080163147e-06,-0.0661945258400463,-0.0259412330710757,7.25178080163147e-06
"31","brain_latent_grey","brain_latent_grey","~","cardio_latent_gvrf","a",-0.0715839372153514,0.00845868786312439,-8.4627708663209,0,-0.0881626607835412,-0.0550052136471615,0
"32","brain_latent_grey","brain_latent_grey","~","cov_age","",-0.360077154529803,0.00657765380357535,-54.742491058754,0,-0.372969119087584,-0.347185189972023,0
"33","brain_latent_grey","brain_latent_grey","~","cov_sex","",0.511298365479018,0.00721068497687468,70.9084320170411,0,0.497165682620479,0.525431048337556,0
"34","brain_latent_grey","cog_latent_g","~","cardio_latent_gvrf","c",-0.0318366084744356,0.0101629125152758,-3.13262644213283,0.00173249786723573,-0.0517555509824076,-0.0119176659664637,0.00173249786723573
"35","brain_latent_grey","cog_latent_g","~","brain_latent_grey","b",0.198805393771837,0.0102412068107909,19.4123014450174,0,0.17873299726446,0.218877790279213,0
"36","brain_latent_grey","cog_latent_g","~","cov_age","",-0.0865191488368261,0.0093427275175864,-9.26058783946826,0,-0.104830558288667,-0.0682077393849855,0
"37","brain_latent_grey","cog_latent_g","~","cov_sex","",0.00883771753728534,0.0112756758117393,0.783786061681929,0.43316565379845,-0.0132622009550731,0.0309376360296438,0.43316565379845
"38","brain_latent_grey","de",":=","c","de",-0.0318366084744356,0.0101629125152758,-3.13262644213283,0.00173249786723573,-0.0517555509824076,-0.0119176659664637,0.00192499763026192
"39","brain_latent_grey","ie",":=","a*b","ie",-0.0142312728258364,0.00183575597089729,-7.75226830333028,9.10382880192628e-15,-0.0178292884131994,-0.0106332572384733,9.10382880192628e-14
"40","brain_latent_grey","te",":=","c+a*b","te",-0.046067881300272,0.0102688858238938,-4.48616160412266,7.25177462768123e-06,-0.0661945276764578,-0.0259412349240862,7.25177462768123e-06
"41","brain_latent_atrophy","brain_latent_atrophy","~","cardio_latent_gvrf","a",-0.0322916357463605,0.008331260213051,-3.87596052944971,0.000106204900736762,-0.0486206057097719,-0.015962665782949,0.000106204900736762
"42","brain_latent_atrophy","brain_latent_atrophy","~","cov_age","",-0.260349108508856,0.0067662013830696,-38.4778834931372,0,-0.273610619531818,-0.247087597485895,0
"43","brain_latent_atrophy","brain_latent_atrophy","~","cov_sex","",0.57696179417682,0.00677389005666623,85.174366479277,0,0.56368521363052,0.59023837472312,0
"44","brain_latent_atrophy","cog_latent_g","~","cardio_latent_gvrf","c",-0.0395963164140695,0.0101410939674562,-3.90454092439515,9.44044167821012e-05,-0.0594724953541201,-0.0197201374740189,9.44044167821012e-05
"45","brain_latent_atrophy","cog_latent_g","~","brain_latent_atrophy","b",0.200409875403047,0.0104219910580035,19.2295190321761,0,0.179983148282161,0.220836602523932,0
"46","brain_latent_atrophy","cog_latent_g","~","cov_age","",-0.10592789721386,0.00897335256341286,-11.8047180766931,0,-0.123515345058729,-0.0883404493689907,0
"47","brain_latent_atrophy","cog_latent_g","~","cov_sex","",-0.00514224619882891,0.0116688555316001,-0.440681280602314,0.659443750366626,-0.028012782781566,0.0177282903839082,0.659443750366626
"48","brain_latent_atrophy","de",":=","c","de",-0.0395963164140695,0.0101410939674562,-3.90454092439515,9.44044167821012e-05,-0.0594724953541201,-0.0197201374740189,0.000118005520977627
"49","brain_latent_atrophy","ie",":=","a*b","ie",-0.00647156269648867,0.00170331868889472,-3.79938454188396,0.000145055870592659,-0.00981000598091631,-0.00313311941206103,0.000290111741185317
"50","brain_latent_atrophy","te",":=","c+a*b","te",-0.0460678791105582,0.0102688858206851,-4.48616139228673,7.25178183391684e-06,-0.066194525480455,-0.0259412327406613,7.25178183391684e-06
"51","brain_latent_gMD","brain_latent_gMD","~","cardio_latent_gvrf","a",0.0554879598278071,0.00982826567742484,5.64575293841118,1.64459879048451e-08,0.0362249130695632,0.0747510065860509,1.64459879048451e-08
"52","brain_latent_gMD","brain_latent_gMD","~","cov_age","",0.320624989442472,0.00774023673396137,41.4231502811387,0,0.305454404212094,0.33579557467285,0
"53","brain_latent_gMD","brain_latent_gMD","~","cov_sex","",0.0144780147883448,0.00965521603771444,1.49950189946987,0.133743476311287,-0.00444586090852908,0.0334018904852186,0.133743476311287
"54","brain_latent_gMD","cog_latent_g","~","cardio_latent_gvrf","c",-0.0439985861285395,0.0102756250929217,-4.28184034846189,1.85353952042444e-05,-0.064138441229302,-0.0238587310277769,1.85353952042444e-05
"55","brain_latent_gMD","cog_latent_g","~","brain_latent_gMD","b",-0.0372926577778895,0.0090548040319875,-4.11854940715971,3.8126483169032e-05,-0.055039747567653,-0.0195455679881259,3.8126483169032e-05
"56","brain_latent_gMD","cog_latent_g","~","cov_age","",-0.146147472835297,0.009065083608748,-16.1220214995327,0,-0.163914710225287,-0.128380235445306,0
"57","brain_latent_gMD","cog_latent_g","~","cov_sex","",0.111026514399887,0.0100130158684595,11.0882191597854,0,0.0914013639210786,0.130651664878696,0
"58","brain_latent_gMD","de",":=","c","de",-0.0439985861285395,0.0102756250929217,-4.28184034846189,1.85353952042444e-05,-0.064138441229302,-0.0238587310277769,4.2056493317677e-05
"59","brain_latent_gMD","ie",":=","a*b","ie",-0.00206929349665169,0.00062210415799089,-3.3262814113549,0.000880130216627029,-0.00328859524094645,-0.000849991752356929,0.00125732888089576
"60","brain_latent_gMD","te",":=","c+a*b","te",-0.0460678796251912,0.0102688858197988,-4.48616144278971,7.25178011595773e-06,-0.0661945259933508,-0.0259412332570315,7.25178011595773e-06
