"","mediator","lhs","op","rhs","label","est.std","se","z","pvalue","ci.lower","ci.upper","pvalue_adj"
"42","brain_latent_atrophy","brain_latent_atrophy","~","cov_age","",-0.259799692645357,0.00677001224311722,-38.3750698397162,0,-0.273068672816762,-0.246530712473952,0
"43","brain_latent_atrophy","brain_latent_atrophy","~","cov_sex","",0.575890918145319,0.00678189257977195,84.9159598698161,0,0.562598652941946,0.589183183348691,0
"44","brain_latent_atrophy","cog_latent_g","~","cardio_latent_gvrf","c",-0.0401405829943881,0.010145514150209,-3.95648583207203,7.60603970888507e-05,-0.0600254253334391,-0.020255740655337,7.60603970888507e-05
"45","brain_latent_atrophy","cog_latent_g","~","brain_latent_atrophy","b",0.196379430070881,0.0104292448536625,18.8296883260841,0,0.175938485771753,0.216820374370009,0
"46","brain_latent_atrophy","cog_latent_g","~","cov_age","",-0.107085107579939,0.00897456023811924,-11.932072963876,0,-0.124674922423738,-0.0894952927361404,0
"47","brain_latent_atrophy","cog_latent_g","~","cov_sex","",-0.00260650056771996,0.0116680301198111,-0.223388227571884,0.823233365886273,-0.0254754193730783,0.0202624182376384,0.823233365886273
"48","brain_latent_atrophy","de",":=","c","de",-0.0401405829943881,0.010145514150209,-3.95648583207203,7.60603970888507e-05,-0.0600254253334391,-0.020255740655337,0.00010865771012693
"49","brain_latent_atrophy","ie",":=","a*b","ie",-0.00592729961006178,0.00166684104603045,-3.55600770941987,0.000376533032589554,-0.00919424802823454,-0.00266035119188902,0.000627555054315924
"50","brain_latent_atrophy","te",":=","c+a*b","te",-0.0460678826044499,0.0102688857968915,-4.48616174292199,7.2517699059027e-06,-0.0661945289277122,-0.0259412362811876,7.2517699059027e-06
"51","brain_latent_gMD","brain_latent_gMD","~","cardio_latent_gvrf","a",0.0481685583940443,0.00984295041100936,4.89371137541927,9.89519275407247e-07,0.0288767300868522,0.0674603867012363,9.89519275407247e-07
"52","brain_latent_gMD","brain_latent_gMD","~","cov_age","",0.321259062632957,0.00774590653457534,41.4746887532087,0,0.306077364797576,0.336440760468338,0
"53","brain_latent_gMD","brain_latent_gMD","~","cov_sex","",0.00968936450967532,0.00966657478892703,1.00235757972663,0.316170922229908,-0.00925677393048454,0.0286355029498352,0.316170922229908
"54","brain_latent_gMD","cog_latent_g","~","cardio_latent_gvrf","c",-0.044542970890203,0.0102741407355695,-4.33544488406639,1.45465620295937e-05,-0.0646799167040152,-0.0244060250763909,1.45465620295937e-05
"55","brain_latent_gMD","cog_latent_g","~","brain_latent_gMD","b",-0.0316577725958887,0.00904781988482261,-3.49893930238305,0.000467112903320022,-0.0493911737087463,-0.013924371483031,0.000467112903320022
"56","brain_latent_gMD","cog_latent_g","~","cov_age","",-0.147934103366875,0.00906435405881181,-16.3204242030973,0,-0.165699910865266,-0.130168295868485,0
"57","brain_latent_gMD","cog_latent_g","~","cov_sex","",0.110793335671259,0.0100145857429955,11.0631970722054,0,0.091165108294899,0.130421563047618,0
"58","brain_latent_gMD","de",":=","c","de",-0.044542970890203,0.0102741407355695,-4.33544488406639,1.45465620295937e-05,-0.0646799167040152,-0.0244060250763909,3.63664050739843e-05
"59","brain_latent_gMD","ie",":=","a*b","ie",-0.00152490926791044,0.000535879488884325,-2.84561977000692,0.00443250869349354,-0.00257521376617745,-0.000474604769643431,0.00554063586686693
"60","brain_latent_gMD","te",":=","c+a*b","te",-0.0460678801581135,0.0102688857935751,-4.4861615061428,7.25177796079279e-06,-0.0661945264748757,-0.0259412338413512,7.25177796079279e-06
"61","brain_latent_gFA","brain_latent_gFA","~","cardio_latent_gvrf","a",-0.0497860482653586,0.0101061007860443,-4.92633601419344,8.37858662672275e-07,-0.0695936418301373,-0.0299784547005799,8.37858662672275e-07
