"","mediator","lhs","op","rhs","label","est.std","se","z","pvalue","ci.lower","ci.upper"
"13","heart_shape_SurfaceArea_LV_ED","heart_shape_SurfaceArea_LV_ED","~","cov_age","",-0.107468389003847,0.00864872223748435,-12.4259267499734,0,-0.124419573101607,-0.0905172049060865
"14","heart_shape_SurfaceArea_LV_ED","heart_shape_SurfaceArea_LV_ED","~","cov_sex","",0.390015700357718,0.00922584423225497,42.2742559422543,0,0.371933377935521,0.408098022779914
"15","heart_shape_SurfaceArea_LV_ED","cog_latent_g","~","cardio_latent_gvrf","c",-0.0321133809255984,0.0110914348113134,-2.89533153031222,0.0037875827608147,-0.0538521936926465,-0.0103745681585503
"16","heart_shape_SurfaceArea_LV_ED","cog_latent_g","~","heart_shape_SurfaceArea_LV_ED","b",0.0176844187317522,0.00962428102941226,1.8374794623835,0.0661391456233285,-0.00117882546298792,0.0365476629264923
"17","heart_shape_SurfaceArea_LV_ED","cog_latent_g","~","cov_age","",-0.175486779971048,0.00902962876271272,-19.4345509192703,0,-0.193184527139731,-0.157789032802364
"18","heart_shape_SurfaceArea_LV_ED","cog_latent_g","~","cov_sex","",0.0947371486642513,0.0111700810461892,8.48133046416634,0,0.072844192109327,0.116630105219176
"19","heart_shape_SurfaceArea_LV_ED","de",":=","c","de",-0.0321133809255984,0.0110914348113134,-2.89533153031222,0.0037875827608147,-0.0538521936926465,-0.0103745681585503
"20","heart_shape_SurfaceArea_LV_ED","ie",":=","a*b","ie",-0.00486056858005638,0.00265124823064008,-1.83331327632151,0.0667559961442123,-0.0100569196261865,0.000335782466073714
"21","heart_shape_SurfaceArea_LV_ED","te",":=","c+a*b","te",-0.0369739495056547,0.0107709613061827,-3.4327436943285,0.000597506648652546,-0.0580846457446472,-0.0158632532666622
"22","heart_shape_SurfaceArea_LV_ED","pm",":=","100*(a*b)/(c+a*b)","pm",13.1459274571493,8.12778934321111,1.61740504115423,0.105790878282548,-2.78424692947295,29.0761018437715
"23","heart_shape_SurfaceAreatoVolumeRatio_LV_ED","heart_shape_SurfaceAreatoVolumeRatio_LV_ED","~","cardio_latent_gvrf","a",0.312614955968357,0.00979019391314477,31.9314365723263,0,0.29342652849693,0.331803383439784
"24","heart_shape_SurfaceAreatoVolumeRatio_LV_ED","heart_shape_SurfaceAreatoVolumeRatio_LV_ED","~","cov_age","",0.145802451855471,0.00864083704824429,16.8736490505971,0,0.128866722444633,0.16273818126631
"25","heart_shape_SurfaceAreatoVolumeRatio_LV_ED","heart_shape_SurfaceAreatoVolumeRatio_LV_ED","~","cov_sex","",-0.297285499847743,0.00963407215384882,-30.8577198821349,0,-0.316167934293747,-0.278403065401739
"26","heart_shape_SurfaceAreatoVolumeRatio_LV_ED","cog_latent_g","~","cardio_latent_gvrf","c",-0.0151250003850865,0.0111597826519278,-1.35531316844004,0.17531780123293,-0.0369977724581599,0.00674777168798696
"27","heart_shape_SurfaceAreatoVolumeRatio_LV_ED","cog_latent_g","~","heart_shape_SurfaceAreatoVolumeRatio_LV_ED","b",-0.0698909334579152,0.00952850627413409,-7.33493072756218,2.21822560320106e-13,-0.0885664625816819,-0.0512154043341484
"28","heart_shape_SurfaceAreatoVolumeRatio_LV_ED","cog_latent_g","~","cov_age","",-0.167197042260291,0.00907783817836027,-18.4181562807382,0,-0.18498927814736,-0.149404806373222
"29","heart_shape_SurfaceAreatoVolumeRatio_LV_ED","cog_latent_g","~","cov_sex","",0.0808567920808767,0.0108886173988074,7.42580890846,1.12132525487141e-13,0.059515494137778,0.102198090023975
"30","heart_shape_SurfaceAreatoVolumeRatio_LV_ED","de",":=","c","de",-0.0151250003850865,0.0111597826519278,-1.35531316844004,0.17531780123293,-0.0369977724581599,0.00674777168798696
"31","heart_shape_SurfaceAreatoVolumeRatio_LV_ED","ie",":=","a*b","ie",-0.0218489510855335,0.00306133816781068,-7.1370589878866,9.53459533548084e-13,-0.0278490636389403,-0.0158488385321268
"32","heart_shape_SurfaceAreatoVolumeRatio_LV_ED","te",":=","c+a*b","te",-0.03697395147062,0.0107709612727262,-3.43274388742292,0.000597506223146915,-0.0580846476440391,-0.0158632552972009
"33","heart_shape_SurfaceAreatoVolumeRatio_LV_ED","pm",":=","100*(a*b)/(c+a*b)","pm",59.0928213417898,19.006326090673,3.10911330574237,0.00187649740932461,21.8411067256468,96.3445359579328
