"","lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper","model.r","additional.r","pvalue_adj"
"550","brain_latent_atrophy","~","brain_latent_grey",0.915197483116449,0.00208962451529881,437.972217695569,0,0.911101894325251,0.919293071907646,0.91832521442891,0.554227033249669,0
"554","brain_latent_atrophy","~","brain_latent_atrophy",0,0.00379737474085506,233.95062329686,0,0.880955469786917,0.895840905242673,NA,NA,0
"557","brain_latent_atrophy","~","brain_latent_gMD",0.0287193586128098,0.00772978661284465,3.71541415711097,0.000202871132017668,0.0135692552434545,0.0438694619821652,0.36484479401719,0.000746612837949301,0.000270245308702502
"561","brain_latent_atrophy","~","brain_latent_gFA",0.0794129555585699,0.00747244454235113,10.6274399372904,0,0.0647672333790888,0.094058677738051,0.370014537610068,0.00591635643082689,0
"565","brain_latent_atrophy","~","brain_latent_pc1",0.0151028016245764,0.00782346983135253,1.930447991766,0.0535513533937464,-0.000230917479010233,0.030436520728163,0.364310504255484,0.000212323076242971,0.0606020018029544
"569","brain_latent_atrophy","~","brain_latent_pc2",0.191727064720783,0.00710062631640203,27.0014300397564,0,0.177810092872957,0.205644036568608,0.399073440009431,0.0349752588301898,0
"573","brain_latent_atrophy","~","brain_latent_pc3",0.577779078264604,0.00535637090626854,107.867638065996,0,0.56728078420048,0.588277372328729,0.62057287478771,0.25647469360847,0
"577","brain_latent_atrophy","~","heart_latent_cc1",0.0332570972834451,0.00847785806358371,3.92281836214027,8.75191325719893e-05,0.0166408008127786,0.0498733937541117,0.364928634019963,0.000830452840722362,0.000118331111829544
"581","brain_latent_atrophy","~","heart_latent_cc2",0.0981188117381838,0.00812660903865174,12.0737704092213,0,0.0821909507059888,0.114046672770379,0.371693161622322,0.00759498044308105,0
"585","brain_latent_atrophy","~","heart_latent_cc3",-0.0365672504463518,0.00788441708734393,-4.63791426065594,3.51942715925979e-06,-0.0520204239766381,-0.0211140769160655,0.365252223852329,0.00115404267308838,5.31595483051374e-06
