"","mediator2","lhs","op","rhs","label","est.std","pvalue","ci.lower","ci.upper","pvalue_adj","significant"
"99","brain_latent_gFA","ie1",":=","a1*b1","ie1",-0.0443421990331214,2.61124455391837e-13,-0.056226288959919,-0.0324581091063239,8.37774294382143e-13,TRUE
"100","brain_latent_gFA","ie2",":=","a2*b2","ie2",-0.00354756891923588,7.18556924850233e-05,-0.00529895656494307,-0.00179618127352869,0.00012867182142667,TRUE
"101","brain_latent_gFA","ie3",":=","a1*m*b2","ie3",0.0015005161778094,0.000236768823839162,0.000700508631349144,0.00230052372426966,0.00039633042251338,TRUE
"102","brain_latent_gFA","te",":=","c+a1*b1+a2*b2+a1*m*b2","te",-0.036636498341979,0.000663120449212684,-0.0577287412920243,-0.0155442553919336,0.000945566537348831,TRUE
"103","brain_latent_pc1","heart_latent_pc2","~","cardio_latent_gvrf","a1",-0.551481113569684,0,-0.566390073051428,-0.53657215408794,0,TRUE
"106","brain_latent_pc1","brain_latent_pc1","~","cardio_latent_gvrf","a2",-0.090825373015731,7.105427357601e-15,-0.113693958384834,-0.0679567876466279,3.41948691584548e-14,TRUE
"107","brain_latent_pc1","brain_latent_pc1","~","heart_latent_pc2","m",-0.07846818524761,4.06341627012807e-14,-0.0988134738658565,-0.0581228966293635,1.73823918222145e-13,TRUE
"110","brain_latent_pc1","cog_latent_g","~","cardio_latent_gvrf","c",0.0113935620086712,0.355853636896453,-0.012792616710935,0.0355797407282774,0.434932222873443,FALSE
"111","brain_latent_pc1","cog_latent_g","~","heart_latent_pc2","b1",0.0821672419720295,5.83977310952832e-14,0.0607275628268328,0.103606921117226,2.36664489175622e-13,TRUE
"112","brain_latent_pc1","cog_latent_g","~","brain_latent_pc1","b2",0.0571244921492692,2.70520850165212e-09,0.0383027855399317,0.0759461987586066,6.71938885894237e-09,TRUE
"115","brain_latent_pc1","de",":=","c","de",0.0113935620086712,0.355853636896453,-0.012792616710935,0.0355797407282774,0.434932222873443,FALSE
"116","brain_latent_pc1","ie1",":=","a1*b1","ie1",-0.0453136821016845,8.41549052665869e-14,-0.0572129464681654,-0.0334144177352036,3.23996385276359e-13,TRUE
"117","brain_latent_pc1","ie2",":=","a2*b2","ie2",-0.00518835330779157,2.3222873186679e-06,-0.00734136626172916,-0.00303534035385397,4.58502880865202e-06,TRUE
"118","brain_latent_pc1","ie3",":=","a1*m*b2","ie3",0.0024719894029493,3.16835468705534e-06,0.00143219679338245,0.00351178201251615,6.09908277258153e-06,TRUE
"119","brain_latent_pc1","te",":=","c+a1*b1+a2*b2+a1*m*b2","te",-0.0366364839978555,0.000663123698872337,-0.0577287269823094,-0.0155442410134016,0.000945566537348831,TRUE
"120","brain_latent_pc2","heart_latent_pc2","~","cardio_latent_gvrf","a1",-0.551481114642258,0,-0.566390074250366,-0.536572155034151,0,TRUE
"123","brain_latent_pc2","brain_latent_pc2","~","cardio_latent_gvrf","a2",0.0441734203126963,0.000321224569934442,0.020107533460302,0.0682393071650905,0.000526261529467064,TRUE
"124","brain_latent_pc2","brain_latent_pc2","~","heart_latent_pc2","m",0.0303118058956568,0.00548593802469921,0.00891837183452288,0.0517052399567907,0.00754316478396141,TRUE
"127","brain_latent_pc2","cog_latent_g","~","cardio_latent_gvrf","c",0.0043778217942986,0.722419424353829,-0.0197767873768264,0.0285324309654236,0.76200405034582,FALSE
"128","brain_latent_pc2","cog_latent_g","~","heart_latent_pc2","b1",0.0764308346448064,2.65210076122457e-12,0.0550153904659052,0.0978462788237075,7.85429840824201e-12,TRUE
"129","brain_latent_pc2","cog_latent_g","~","brain_latent_pc2","b2",0.0413682968201346,6.26588352181656e-06,0.0234190945511441,0.0593174990891251,1.17676349068262e-05,TRUE
"132","brain_latent_pc2","de",":=","c","de",0.0043778217942986,0.722419424353829,-0.0197767873768264,0.0285324309654236,0.76200405034582,FALSE
"133","brain_latent_pc2","ie1",":=","a1*b1","ie1",-0.0421501618829559,3.49076323402642e-12,-0.0540259639634977,-0.0302743598024142,9.9551395933346e-12,TRUE
"134","brain_latent_pc2","ie2",":=","a2*b2","ie2",0.00182737916305618,0.0049035119615426,0.000554286707881084,0.00310047161823128,0.00686491674615963,TRUE
"135","brain_latent_pc2","ie3",":=","a1*m*b2","ie3",-0.000691528521317899,0.0180867264042726,-0.00126490583234835,-0.000118151210287444,0.0236047107309998,TRUE
"136","brain_latent_pc2","te",":=","c+a1*b1+a2*b2+a1*m*b2","te",-0.0366364894469191,0.000663122469147348,-0.0577287324304523,-0.0155442464633858,0.000945566537348831,TRUE
"137","brain_latent_pc3","heart_latent_pc2","~","cardio_latent_gvrf","a1",-0.551481113709651,0,-0.566390073312612,-0.536572154106691,0,TRUE
"140","brain_latent_pc3","brain_latent_pc3","~","cardio_latent_gvrf","a2",7.4484632657175e-05,0.994605677156995,-0.0215185951506334,0.0216675644159478,0.99460567787388,FALSE
"141","brain_latent_pc3","brain_latent_pc3","~","heart_latent_pc2","m",0.0687036657385804,2.10453876547945e-12,0.049541931779889,0.0878653996972717,6.4819793976767e-12,TRUE
"144","brain_latent_pc3","cog_latent_g","~","cardio_latent_gvrf","c",0.00619617248652306,0.613132956947413,-0.0178230524658256,0.0302153974388718,0.664947009647194,FALSE
"145","brain_latent_pc3","cog_latent_g","~","heart_latent_pc2","b1",0.0693412696382801,1.95242710887555e-10,0.0479892502928558,0.0906932889837045,5.36917454940777e-10,TRUE
"146","brain_latent_pc3","cog_latent_g","~","brain_latent_pc3","b2",0.121442238266775,0,0.101620129267309,0.141264347266241,0,TRUE
"149","brain_latent_pc3","de",":=","c","de",0.00619617248652306,0.613132956947413,-0.0178230524658256,0.0302153974388718,0.664947009647194,FALSE
"150","brain_latent_pc3","ie1",":=","a1*b1","ie1",-0.03824040060616,2.35977015705657e-10,-0.0500698077053318,-0.0264109935069881,6.26559662390883e-10,TRUE
"151","brain_latent_pc3","ie2",":=","a2*b2","ie2",9.04558050636585e-06,0.99460567787388,-0.00261326670795019,0.00263135786896292,0.99460567787388,FALSE
"152","brain_latent_pc3","ie3",":=","a1*m*b2","ie3",-0.00460129753157828,1.57835322589506e-09,-0.00609535891886915,-0.0031072361442874,4.05110661313065e-09,TRUE
"153","brain_latent_pc3","te",":=","c+a1*b1+a2*b2+a1*m*b2","te",-0.0366364800707088,0.000663124584634245,-0.057728723054541,-0.0155442370868767,0.000945566537348831,TRUE
