"","mediator1","mediator2","lhs","op","rhs","label","est.std","pvalue","ci.lower","ci.upper","pvalue_adj","significant"
"387","heart_latent_pc2","brain_latent_pc2","ie1",":=","a1*b1","ie1",-0.0421501709508081,3.49076323402642e-12,-0.0540259728913208,-0.0302743690102953,1.34394384510017e-11,TRUE
"388","heart_latent_pc2","brain_latent_pc2","ie2",":=","a2*b2","ie2",0.00113585001825252,0.025813432279046,0.000137098095903253,0.00213460194060178,0.0320586175078474,TRUE
"389","heart_latent_pc2","brain_latent_pc2","pm1",":=","(a1*b1)/(c+a1*b1+a2*b2)","pm1",1.15049735165264,0.00218903987589814,0.414386999649647,1.88660770365563,0.00324146289315685,TRUE
"390","heart_latent_pc2","brain_latent_pc2","pm2",":=","(a2*b2)/(c+a1*b1+a2*b2)","pm2",-0.0310032535668535,0.0667861866792903,-0.0641519758147764,0.00214546868106948,0.0816275614969103,FALSE
"391","heart_latent_pc2","brain_latent_pc2","te",":=","c+a1*b1+a2*b2","te",-0.0366364780329665,0.000663125038276924,-0.0577287210012485,-0.0155442350646844,0.00118745646389124,TRUE
"392","heart_latent_pc2","brain_latent_pc3","cog_latent_g","~","cardio_latent_gvrf","c",0.00619617506860792,0.613132810249052,-0.0178230499678158,0.0302154001050317,0.646729128618863,FALSE
"393","heart_latent_pc2","brain_latent_pc3","cog_latent_g","~","heart_latent_pc2","b1",0.0693412760715347,1.95242044753741e-10,0.0479892566821388,0.0906932954609306,7.15887497430382e-10,TRUE
"394","heart_latent_pc2","brain_latent_pc3","cog_latent_g","~","brain_latent_pc3","b2",0.121442214535837,0,0.10162010545503,0.141264323616643,0,TRUE
"397","heart_latent_pc2","brain_latent_pc3","heart_latent_pc2","~","cardio_latent_gvrf","a1",-0.551481117004929,0,-0.566390076434988,-0.53657215757487,0,TRUE
"400","heart_latent_pc2","brain_latent_pc3","brain_latent_pc3","~","cardio_latent_gvrf","a2",-0.0378142862726845,8.42137062513348e-05,-0.056662992769554,-0.0189655797758151,0.000196498647919781,TRUE
"403","heart_latent_pc2","brain_latent_pc3","de",":=","c","de",0.00619617506860792,0.613132810249052,-0.0178230499678158,0.0302154001050317,0.646729128618863,FALSE
"404","heart_latent_pc2","brain_latent_pc3","ie1",":=","a1*b1","ie1",-0.0382404043824771,2.35976127527238e-10,-0.0500698115818034,-0.0264109971831508,8.25916446345332e-10,TRUE
"405","heart_latent_pc2","brain_latent_pc3","ie2",":=","a2*b2","ie2",-0.0045922506660469,0.000187036429872611,-0.00700147418856069,-0.00218302714353311,0.000411480145719745,TRUE
"406","heart_latent_pc2","brain_latent_pc3","pm1",":=","(a1*b1)/(c+a1*b1+a2*b2)","pm1",1.04377943523614,0.00266393108968521,0.362780195031311,1.72477867544098,0.00387023950765587,TRUE
"407","heart_latent_pc2","brain_latent_pc3","pm2",":=","(a2*b2)/(c+a1*b1+a2*b2)","pm2",0.12534639431966,0.00782740897699652,0.0329676310609014,0.217725157578419,0.0107626873433702,TRUE
"408","heart_latent_pc2","brain_latent_pc3","te",":=","c+a1*b1+a2*b2","te",-0.0366364799799161,0.000663124603462073,-0.0577287229595227,-0.0155442370003095,0.00118745646389124,TRUE
