"","PC1","PC2","PC3"
"brain_bio.weighted.mean_mo_in_tract_superior_longitudinal_fasciculus_.left..0.imaging",-0.00494095369059676,-0.0750505884935499,-0.00228779612279985
"brain_bio.weighted.mean_mo_in_tract_superior_longitudinal_fasciculus_.right..0.imaging",-0.0041769557847712,-0.0772816029642072,0.00581178949861612
"brain_bio.weighted.mean_mo_in_tract_superior_thalamic_radiation_.left..0.imaging",0.0117255693339453,-0.0564563264811716,0.0127136441972377
"brain_bio.weighted.mean_mo_in_tract_superior_thalamic_radiation_.right..0.imaging",0.0106379064926227,-0.0593991904532689,0.015444687802909
"brain_bio.weighted.mean_mo_in_tract_uncinate_fasciculus_.left..0.imaging",-0.0134643117520591,-0.0194188029556224,0.0268918368528552
"brain_bio.weighted.mean_mo_in_tract_uncinate_fasciculus_.right..0.imaging",-0.0168554607766322,-0.0266364174407293,0.040560060209841
"brain_bio.weighted.mean_l1_in_tract_acoustic_radiation_.left..0.imaging",0.0435065133134615,-0.0546289769364527,0.0230349320502292
"brain_bio.weighted.mean_l1_in_tract_acoustic_radiation_.right..0.imaging",0.0500022922926587,-0.0447423732927185,-0.0166823300305003
"brain_bio.weighted.mean_l1_in_tract_anterior_thalamic_radiation_.left..0.imaging",0.089249805619909,-0.0839577057173782,-0.0279386258300982
"brain_bio.weighted.mean_l1_in_tract_anterior_thalamic_radiation_.right..0.imaging",0.0870073639968081,-0.0869975118049815,-0.0256296436691799
"brain_bio.weighted.mean_l1_in_tract_cingulate_gyrus_part_of_cingulum_.left..0.imaging",0.0282147533913522,-0.102914456799256,0.0116638698475098
"brain_bio.weighted.mean_l1_in_tract_cingulate_gyrus_part_of_cingulum_.right..0.imaging",0.0304501856509571,-0.0959001024942922,-0.00125274225081138
"brain_bio.weighted.mean_l1_in_tract_corticospinal_tract_.left..0.imaging",0.0419215693808074,-0.0986251913355576,-0.00925466778999408
"brain_bio.weighted.mean_l1_in_tract_corticospinal_tract_.right..0.imaging",0.0417446123624497,-0.102960064511177,-0.0128796440183409
"brain_bio.weighted.mean_l1_in_tract_forceps_major.0.imaging",0.0349760699658068,-0.0544200239540833,0.04972343244818
"brain_bio.weighted.mean_l1_in_tract_inferior_fronto.occipital_fasciculus_.left..0.imaging",0.0835556682101973,-0.0934760972701989,0.0568058478841987
"brain_bio.weighted.mean_l1_in_tract_inferior_fronto.occipital_fasciculus_.right..0.imaging",0.088091481638951,-0.0951091665633346,0.0381286754066483
"brain_bio.weighted.mean_l1_in_tract_inferior_longitudinal_fasciculus_.left..0.imaging",0.0860728503980353,-0.0802948740399924,0.0654560654070383
"brain_bio.weighted.mean_l1_in_tract_inferior_longitudinal_fasciculus_.right..0.imaging",0.0903595695180298,-0.0872917580457111,0.0473178910568515
"brain_bio.weighted.mean_l1_in_tract_posterior_thalamic_radiation_.left..0.imaging",0.0698835216227914,-0.0952247056966222,0.00728234225155448
"brain_bio.weighted.mean_l1_in_tract_posterior_thalamic_radiation_.right..0.imaging",0.0726950411680474,-0.100985747795913,-0.00472918199608213
"brain_bio.weighted.mean_l1_in_tract_superior_longitudinal_fasciculus_.left..0.imaging",0.0923963942090114,-0.0974572516118009,-0.0246822192043906
"brain_bio.weighted.mean_l1_in_tract_superior_longitudinal_fasciculus_.right..0.imaging",0.0913041397541784,-0.103527084011361,-0.0389352105852877
"brain_bio.weighted.mean_l1_in_tract_superior_thalamic_radiation_.left..0.imaging",0.0753891759965766,-0.102267287473105,-0.079346056362019
"brain_bio.weighted.mean_l1_in_tract_superior_thalamic_radiation_.right..0.imaging",0.074310104462264,-0.106912670680134,-0.0801892434258047
"brain_bio.weighted.mean_l1_in_tract_uncinate_fasciculus_.left..0.imaging",0.0695359626072362,-0.0224143978666001,0.0307867585538768
"brain_bio.weighted.mean_l1_in_tract_uncinate_fasciculus_.right..0.imaging",0.075915234113159,-0.043019501246395,0.0394390723988719
"brain_bio.weighted.mean_l2_in_tract_acoustic_radiation_.left..0.imaging",0.0595639451385171,0.0103607666241575,0.037067422249748
"brain_bio.weighted.mean_l2_in_tract_acoustic_radiation_.right..0.imaging",0.0606212785667359,0.0201040578002459,-0.00784628023650785
"brain_bio.weighted.mean_l2_in_tract_anterior_thalamic_radiation_.left..0.imaging",0.101112113169893,-0.0103623873040807,-0.032434312138715
"brain_bio.weighted.mean_l2_in_tract_anterior_thalamic_radiation_.right..0.imaging",0.102346484175228,-0.00815376877421135,-0.0322126176582801
"brain_bio.weighted.mean_l2_in_tract_cingulate_gyrus_part_of_cingulum_.right..0.imaging",0.0799856754231909,0.0336829246623373,-0.0390226571383398
"brain_bio.weighted.mean_l2_in_tract_corticospinal_tract_.left..0.imaging",0.0681490721051934,0.0310390552411296,-0.00317393928156113
"brain_bio.weighted.mean_l2_in_tract_corticospinal_tract_.right..0.imaging",0.0683916153636778,0.0322321527259339,-0.0278445679476181
"brain_bio.weighted.mean_l2_in_tract_forceps_major.0.imaging",0.0499182090731317,0.00465249151910023,0.0495318514804552
"brain_bio.weighted.mean_l2_in_tract_forceps_minor.0.imaging",0.0940718915661229,-0.0043878161659329,-0.0203976010111032
"brain_bio.weighted.mean_l2_in_tract_inferior_fronto.occipital_fasciculus_.left..0.imaging",0.108988660429756,0.0212532190386776,0.0137126198628105
"brain_bio.weighted.mean_l2_in_tract_inferior_fronto.occipital_fasciculus_.right..0.imaging",0.111889110462944,0.00804423620091412,-0.00440713876769513
