"","mean.in.group.Control","mean.in.group.Risk","ci.lower","ci.upper","p.value","diff","percent.diff","pvalue_adj","significant"
"heart_shape_Max2DdiameterRow_LV_ED",100.306154523881,97.424978151881,-4.03759168214661,-1.72476106185339,1.2072221164547e-06,-2.881176372,-2.87238244320696,2.91417803925577e-06,TRUE
"heart_shape_MajorAxis_LV_ED",88.4237334379048,86.7628913934048,-2.76322051673067,-0.558463572269334,0.00319217581821767,-1.6608420445,-1.87827631782402,0.0049602971546556,TRUE
"heart_shape_MinorAxis_LV_ED",52.415581443,51.2358781505714,-1.72226835602361,-0.637138228833529,2.20022775614528e-05,-1.17970329242857,-2.2506729105189,4.39199309784384e-05,TRUE
"heart_shape_LeastAxis_LV_ED",49.5576943639762,48.1862806107857,-1.87835889654662,-0.864468609834327,1.4063716378681e-07,-1.37141375319047,-2.76730741974825,3.76240659821416e-07,TRUE
"heart_shape_Elongation_LV_ED",0.596315177661905,0.594023067988095,-0.0100428770833032,0.0054586577356841,0.561765477599165,-0.00229210967380955,-0.384378892181932,0.599910047065775,FALSE
"heart_shape_Flatness_LV_ED",0.563719501709524,0.558592150769048,-0.0122712146691588,0.00201651278820659,0.159278179126837,-0.00512735094047612,-0.909557133455029,0.194050175978471,FALSE
"heart_shape_Volume_LV_ES",65653.3121199286,57787.426706881,-10272.6191740803,-5459.15165201496,2.35241162211769e-10,-7865.88541304763,-11.9809422541837,8.72072594199344e-10,TRUE
"heart_shape_SurfaceArea_LV_ES",10535.7857218167,9904.02554289762,-902.233754342781,-361.286603495316,5.24139516947183e-06,-631.760178919048,-5.99632714255805,1.15756769913016e-05,TRUE
"heart_shape_SurfaceAreatoVolumeRatio_LV_ES",0.166320688221429,0.178726285464286,0.00989862028037808,0.0149125742053362,3.47738606267431e-21,0.0124055972428571,7.45884193693399,2.2009309347902e-20,TRUE
"heart_shape_Sphericity_LV_ES",0.736869083090476,0.71838033652381,-0.0231384228703354,-0.0138390702629979,1.81711139413511e-14,-0.0184887465666667,-2.50909516913421,8.98172203386785e-14,TRUE
"heart_shape_Max3Ddiameter_LV_ES",83.3085531833333,80.7460104615476,-3.71483966447387,-1.41024577909757,1.43016083614767e-05,-2.56254272178572,-3.07596594091179,2.91079793710055e-05,TRUE
"heart_shape_Max2DdiameterSlice_LV_ES",47.7493214264286,47.596578472881,-0.956842318121414,0.651356411026168,0.709358023605528,-0.152742953547623,-0.319885076865369,0.737789206916371,FALSE
"heart_shape_Max2DdiameterColumn_LV_ES",81.2715318367857,78.2965619826905,-4.09489932972125,-1.85504037846922,2.3302720305995e-07,-2.97496985409524,-3.66053129165788,6.17046522388337e-07,TRUE
"heart_shape_Max2DdiameterRow_LV_ES",80.5075869424286,77.9543536273095,-3.67531526232219,-1.4311513679159,9.0518636022569e-06,-2.55323331511904,-3.17141950477894,1.89432145547231e-05,TRUE
"heart_shape_MajorAxis_LV_ES",72.0871424236905,70.2188787508095,-2.93631686615614,-0.800210479605771,0.00062535708061174,-1.86826367288096,-2.59167392417955,0.00105035703830904,TRUE
"heart_shape_MinorAxis_LV_ES",38.5293694449048,37.5879935315238,-1.48158157202,-0.401170254741907,0.000655549526088617,-0.941375913380952,-2.44326841301433,0.00109751678722578,TRUE
"heart_shape_LeastAxis_LV_ES",36.025194897,34.5996574496905,-1.9251839820603,-0.925890912558745,2.91107682761181e-08,-1.42553744730952,-3.95705686363472,8.30136743698094e-08,TRUE
"heart_shape_Elongation_LV_ES",0.537676120638095,0.538493948459524,-0.00671451490541899,0.00835017054827616,0.831290949085898,0.000817827821428585,0.152104173876648,0.845960789363884,FALSE
"heart_shape_Flatness_LV_ES",0.502619441476191,0.495627865188095,-0.0137982372684376,-0.000184915307752915,0.0441060049521375,-0.00699157628809527,-1.39102782565693,0.0591499136179828,FALSE
"heart_shape_Volume_RV_ED",168527.529336333,151772.768543333,-21588.5536164579,-11920.9679695421,1.97588577580276e-11,-16754.760793,-9.94185392676245,8.01159935657525e-11,TRUE
"heart_shape_SurfaceArea_RV_ED",24360.2631059286,22187.2724081667,-2647.73204539157,-1698.24935013224,1.76999298227525e-18,-2172.99069776191,-8.9202267164063,1.02069595311206e-17,TRUE
"heart_shape_SurfaceAreatoVolumeRatio_RV_ED",0.148568930204762,0.15000302637381,-0.000451747993124321,0.00331994033121959,0.135913838169093,0.00143409616904763,0.965273268826208,0.167950671451808,FALSE
"heart_shape_Sphericity_RV_ED",0.599440328602381,0.613972652942857,0.0109644541209232,0.0181001945600293,4.29950622099063e-15,0.0145323243404762,2.42431542341486,2.23144372869414e-14,TRUE
"heart_shape_Max3Ddiameter_RV_ED",121.456580056119,115.746982860167,-6.98256918793971,-4.43662520396505,7.60321364989026e-18,-5.70959719595238,-4.70093690544741,4.33633833438796e-17,TRUE
"heart_shape_Max2DdiameterSlice_RV_ED",97.0833542899286,89.2189431650952,-8.99110938355618,-6.7377128661105,1.17502745459814e-38,-7.86441112483334,-8.10067923832458,1.45199821175341e-37,TRUE
"heart_shape_Max2DdiameterColumn_RV_ED",105.515059746357,101.826564205643,-5.03631486612311,-2.34067621530546,1.01253002898813e-07,-3.68849554071429,-3.49570530460855,2.76580571076232e-07,TRUE
"heart_shape_Max2DdiameterRow_RV_ED",102.692932989238,98.5735149804524,-5.4378504859952,-2.80098553157623,1.33203495387686e-09,-4.11941800878571,-4.01139386019622,4.57831881498072e-09,TRUE
"heart_shape_MajorAxis_RV_ED",100.226223912214,93.9528876133333,-7.32704489181334,-5.21962770594856,2.655342519529e-29,-6.27333629888095,-6.25917654482884,1.99727937338486e-28,TRUE
"heart_shape_MinorAxis_RV_ED",72.2968171125,68.2420455193333,-5.04426976553795,-3.06527342079538,3.02872904594187e-15,-4.05477159316666,-5.60850637014503,1.58778825741801e-14,TRUE
