"","lhs","rhs","est.std","pvalue","ci.lower","ci.upper","model.r","additional.r","pvalue_adj"
"325","heart_latent_pc3","brain_latent_wmh",0.0271882284211502,0.030752266672943,0.0025208925792953,0.0518555642630051,0.015314512651327,0.000644962544264382,0.0359814921677056
"328","heart_latent_pc3","brain_latent_gMD",-0.0177579642886812,0.163237597064804,-0.0427209164819213,0.0072049879045589,0.0149384693330772,0.000268919226014575,0.173672724117817
"331","heart_latent_pc3","brain_latent_gFA",0.00413270652990126,0.735554411789444,-0.0198496641214346,0.0281150771812371,0.014685340173227,1.57900661643673e-05,0.746756013422182
"334","heart_latent_pc3","brain_latent_pc1",-0.0160882339449728,0.20671235489588,-0.0410612478819644,0.00888477999201872,0.0148901241097557,0.000220574002693041,0.217605662179261
"337","heart_latent_pc3","brain_latent_pc2",-0.00676537823347674,0.594787551132378,-0.031694162450028,0.0181634059830745,0.0147087102037369,3.91600966742622e-05,0.610040137939145
"340","heart_latent_pc3","brain_latent_pc3",0.0184035929233004,0.149804538061702,-0.00664141663279134,0.0434486024793922,0.0149564748981624,0.000286924791099818,0.1619672399412
"343","heart_latent_pc3","heart_latent_cc1",0.283312808085584,0,0.240906333896503,0.325719282274664,0.0370937940176311,0.0224242439105685,0
"346","heart_latent_pc3","heart_latent_cc2",-0.039879766992222,0.00945190539205498,-0.0699973160586793,-0.00976221792576474,0.015599738533573,0.000930188426510381,0.0113485453877998
"349","heart_latent_pc3","heart_latent_cc3",-0.389922179246303,0,-0.409523390396187,-0.370320968096419,0.157905096519937,0.143235546412875,0
"352","heart_latent_pc3","brain_latent_cc1",0.160923318379151,0,0.125110653516379,0.196735983241924,0.0251273899217173,0.0104578398146546,0
"355","heart_latent_pc3","brain_latent_cc2",-0.093279959442722,9.62243840163524e-09,-0.125146317192356,-0.0614136016930875,0.019174774380092,0.00450522427302935,1.49765578235568e-08
"358","heart_latent_pc3","brain_latent_cc3",-0.176516842260318,0,-0.199428459685204,-0.153605224835433,0.0439680564554773,0.0292985063484147,0
