"","mediator","lhs","op","rhs","label","est.std","pvalue","ci.lower","ci.upper","independent","dependent","pvalue_adj","significant"
"436","heart_latent_pc2","cog_rt","~","cardio_sbp","c",-0.0358623245978219,0.0119211031526598,-0.063816060561764,-0.00790858863387986,"cardio_sbp","cog_rt",0.0208713320180637,TRUE
"437","heart_latent_pc2","cog_rt","~","heart_latent_pc2","b",-0.0463160775169273,2.00210456846595e-05,-0.0676021659340847,-0.0250299890997698,"cardio_sbp","cog_rt",0.00011696505786136,TRUE
"447","heart_latent_pc2","de",":=","c","de",-0.0358623245978219,0.0119211031526598,-0.063816060561764,-0.00790858863387986,"cardio_sbp","cog_rt",0.0208713320180637,TRUE
"448","heart_latent_pc2","ie",":=","a*b","ie",-0.00334985912292435,0.000494773687247818,-0.00523459323339789,-0.00146512501245082,"cardio_sbp","cog_rt",0.00154347585758578,TRUE
"449","heart_latent_pc2","te",":=","c+a*b","te",-0.0392121837207463,0.00592995942416752,-0.0671427142647775,-0.011281653176715,"cardio_sbp","cog_rt",0.011359519484942,TRUE
"450","heart_latent_pc2","pm",":=","(a*b)/(c+a*b)","pm",0.085429037739411,0.029100061752904,0.00869760370005108,0.162160471778771,"cardio_sbp","cog_rt",0.0425120655862801,TRUE
"451","heart_latent_pc3","heart_latent_pc3","~","cardio_sbp","a",-0.00580346008780611,0.675614716543051,-0.0329857891551319,0.0213788689795197,"cardio_sbp","cog_rt",0.728089645983288,FALSE
"461","heart_latent_pc3","cog_rt","~","cardio_sbp","c",-0.0391903943132525,0.00595775564494394,-0.0671209548644626,-0.0112598337620424,"cardio_sbp","cog_rt",0.011359519484942,TRUE
"462","heart_latent_pc3","cog_rt","~","heart_latent_pc3","b",0.00376503806159436,0.688716936244368,-0.0146558214048147,0.0221858975280034,"cardio_sbp","cog_rt",0.730856404618784,FALSE
"472","heart_latent_pc3","de",":=","c","de",-0.0391903943132525,0.00595775564494394,-0.0671209548644626,-0.0112598337620424,"cardio_sbp","cog_rt",0.011359519484942,TRUE
"473","heart_latent_pc3","ie",":=","a*b","ie",-2.18502481195337e-05,NA,-2.18502481195337e-05,-2.18502481195337e-05,"cardio_sbp","cog_rt",NA,FALSE
"474","heart_latent_pc3","te",":=","c+a*b","te",-0.0392122445613721,0.00592988172448927,-0.0671427748811372,-0.0112817142416069,"cardio_sbp","cog_rt",0.011359519484942,TRUE
"475","heart_latent_pc3","pm",":=","(a*b)/(c+a*b)","pm",0.000557230231626638,0.773455766879971,-0.00323683773218783,0.00435129819544111,"cardio_sbp","cog_rt",0.793471258074647,FALSE
"476","brain_latent_grey","brain_latent_grey","~","cardio_sbp","a",-0.0205779766098283,0.090647033452449,-0.044414989332968,0.00325903611331136,"cardio_sbp","cog_rt",0.117819914674729,FALSE
"486","brain_latent_grey","cog_rt","~","cardio_sbp","c",-0.0404270821412972,0.00450823537241085,-0.0683247836592481,-0.0125293806233464,"cardio_sbp","cog_rt",0.00970547864282681,TRUE
"487","brain_latent_grey","cog_rt","~","brain_latent_grey","b",-0.0590359881495629,3.35213921065503e-08,-0.0799901669526106,-0.0380818093465152,"cardio_sbp","cog_rt",2.69628588683122e-07,TRUE
"497","brain_latent_grey","de",":=","c","de",-0.0404270821412972,0.00450823537241085,-0.0683247836592481,-0.0125293806233464,"cardio_sbp","cog_rt",0.00970547864282681,TRUE
"498","brain_latent_grey","ie",":=","a*b","ie",0.00121484118327981,0.105738238895626,-0.00025707565611525,0.00268675802267487,"cardio_sbp","cog_rt",0.135218254808923,FALSE
"499","brain_latent_grey","te",":=","c+a*b","te",-0.0392122409580174,0.0059298865329025,-0.0671427714068841,-0.0112817105091507,"cardio_sbp","cog_rt",0.011359519484942,TRUE
