"","lhs","op","rhs","est.std","pvalue","ci.lower","ci.upper","model.r","additional.r","pvalue_adj"
"220","heart_latent_pc1","~","brain_latent_cc1",-0.0208743884389528,0.122024846608238,-0.0473325472774524,0.00558377039954683,0.0628412347134077,0.000187279058718293,0.135576653161774
"223","heart_latent_pc1","~","brain_latent_cc2",-0.105509210808525,0,-0.126819099615076,-0.0841993220019749,0.0698984384798979,0.0072444828252084,0
"226","heart_latent_pc1","~","brain_latent_cc3",-0.0330508438665205,0.000462014400157029,-0.0515491216682313,-0.0145525660648097,0.0636125559238071,0.000958600269117649,0.000606963989080123
"229","heart_latent_pc2","~","cardio_latent_agg",-0.390685718906164,0,-0.40561389121262,-0.375757546599708,0.25637377682648,0.133589619141217,0
"232","heart_latent_pc2","~","cardio_latent_gvrf",-0.551481114450937,0,-0.566390074040606,-0.536572154861268,0.333421545669075,0.210637387983812,0
"235","heart_latent_pc2","~","cog_latent_g",0.068394912423532,3.33066907387547e-15,0.0513791070533219,0.0854107177937422,0.127282906013747,0.0044987483284844,6.42979430839061e-15
"238","heart_latent_pc2","~","heart_latent_pc1",-0.236655459837712,0,-0.252829587136451,-0.220481332538972,0.17528096990628,0.052496812221017,0
"244","heart_latent_pc2","~","heart_latent_pc3",-0.0303644796461607,0.000503570012764243,-0.0474716510559299,-0.0132573082363915,0.123669644523992,0.000885486838729577,0.000656277164649428
"247","heart_latent_pc2","~","brain_latent_grey",0.137992084934265,0,0.117693355844279,0.158290814024252,0.135384330682977,0.012600172997714,0
"250","heart_latent_pc2","~","brain_latent_atrophy",0.125074734263039,0,0.104296498974542,0.145852969551536,0.132732001538956,0.00994784385369296,0
"253","heart_latent_pc2","~","brain_latent_gMD",0.0389009866978038,1.804136742245e-05,0.0211194424015468,0.0566825309940608,0.124127771519007,0.00134361383374437,2.56797482695561e-05
"256","heart_latent_pc2","~","brain_latent_gFA",-0.0218274338837323,0.0136035963664667,-0.0391647702816562,-0.00449009748580836,0.12323015790617,0.000446000220907572,0.0162075851098828
"259","heart_latent_pc2","~","brain_latent_pc1",-0.0393317876493228,1.8134560279881e-05,-0.0573150516765561,-0.0213485236220895,0.12412705865803,0.00134290097276679,2.56797482695561e-05
"262","heart_latent_pc2","~","brain_latent_pc2",0.0102110682288394,0.244667501087739,-0.00699138719687054,0.0274135236545493,0.12288338910433,9.92314190666477e-05,0.260545628001987
"265","heart_latent_pc2","~","brain_latent_pc3",0.0784116676376009,6.66133814775094e-16,0.0593790492677313,0.0974442860074705,0.127507639226236,0.00472348154097335,1.29986111964221e-15
"268","heart_latent_pc2","~","heart_latent_cc1",0.446516422412484,0,0.430615163114139,0.462417681710828,0.270340902187809,0.147556744502546,0
"271","heart_latent_pc2","~","heart_latent_cc2",0.599798398432298,0,0.587456990437105,0.61213980642749,0.406922424070446,0.284138266385183,0
"274","heart_latent_pc2","~","heart_latent_cc3",-0.45524222358824,0,-0.469411436500839,-0.441073010675641,0.299559388495172,0.176775230809909,0
"277","heart_latent_pc2","~","brain_latent_cc1",-0.0139984490460832,0.283814951787819,-0.0395972038082789,0.0116003057161125,0.12286837244263,8.42147573667518e-05,0.300478830862954
"280","heart_latent_pc2","~","brain_latent_cc2",0.302502134448803,0,0.283275945764362,0.321728323133244,0.182334365303701,0.0595502076184385,0
"283","heart_latent_pc2","~","brain_latent_cc3",-0.247090321245931,0,-0.263781906561755,-0.230398735930107,0.176361979900006,0.0535778222147435,0
"286","heart_latent_pc3","~","cardio_latent_agg",0.102588753493143,0,0.0840343008175297,0.121143206168757,0.0488150673950521,0.00921120776174922,0
"289","heart_latent_pc3","~","cardio_latent_gvrf",0.111591237556671,0,0.0907178120966547,0.132464663016687,0.048228358055963,0.00862449842266011,0
"292","heart_latent_pc3","~","cog_latent_g",-0.021859661106854,0.0166731788569203,-0.0397573530730964,-0.00396196914061153,0.0400634095503146,0.000459549917011692,0.0193537542358464
"295","heart_latent_pc3","~","heart_latent_pc1",-0.340361056244637,0,-0.356066055479406,-0.324656057009867,0.148191309449936,0.108587449816633,0
"298","heart_latent_pc3","~","heart_latent_pc2",-0.03324372618439,0.000503044565743238,-0.0519715422639001,-0.0145159101048799,0.0405733049875103,0.000969445354207399,0.000656277164649428
"304","heart_latent_pc3","~","brain_latent_grey",0.00704693045446323,0.522317379797128,-0.014541408914094,0.0286352698230205,0.0396367088848485,3.28492515455636e-05,0.543393094128179
"307","heart_latent_pc3","~","brain_latent_atrophy",0.0172448604951531,0.124760750299386,-0.00477288331778691,0.0392626043080932,0.0397929564078624,0.000189096774559472,0.137756596223482
"310","heart_latent_pc3","~","brain_latent_gMD",-0.0410890093041748,1.49698261240339e-05,-0.0596915791296335,-0.0224864394787162,0.0411028733197051,0.00149901368640215,2.15764551596102e-05
"313","heart_latent_pc3","~","brain_latent_gFA",0.0228526816419026,0.0135431431868818,0.00471271886689195,0.0409926444169132,0.0400927475020338,0.000488887868730914,0.0162075851098828
"316","heart_latent_pc3","~","brain_latent_pc1",0.0431837710335248,6.81184552253633e-06,0.0243730302752413,0.0619945117918083,0.0412226776646405,0.00161881803133757,9.98724458441872e-06
"319","heart_latent_pc3","~","brain_latent_pc2",-0.0151586396966189,0.0987672831575961,-0.0331555614572434,0.00283828206400554,0.0398225467878629,0.000218687154559971,0.110387483526302
"322","heart_latent_pc3","~","brain_latent_pc3",0.0248260353904232,0.0151017609363731,0.00480153028518947,0.044850540495657,0.0400773346291854,0.000473474995882461,0.0178849887961075
"325","heart_latent_pc3","~","heart_latent_cc1",-0.107657092317358,0,-0.127850730138884,-0.0874634544958309,0.048181513303137,0.0085776536698341,0
"328","heart_latent_pc3","~","heart_latent_cc2",0.0750479919696396,7.1276318180935e-14,0.0553975931662605,0.0946983907730187,0.0440521903414424,0.00444833070813944,1.35425004543777e-13
"331","heart_latent_pc3","~","heart_latent_cc3",0.456738477970604,0,0.4418501507581,0.471626805183108,0.217543012726319,0.177939153093016,0
"334","heart_latent_pc3","~","brain_latent_cc1",0.0470459197265527,0.000568317804240825,0.0202901839403127,0.0738016555127927,0.0405551349251625,0.000951275291859566,0.000737995422053734
"337","heart_latent_pc3","~","brain_latent_cc2",-0.0338218627009376,0.00230476689375925,-0.0555714234236962,-0.012072301978179,0.0403482749298164,0.000744415296513479,0.00282662844569099
"340","heart_latent_pc3","~","brain_latent_cc3",0.148625209743884,0,0.130334649191873,0.166915770295896,0.0589885237556557,0.0193846641223527,0
"343","brain_latent_grey","~","cardio_latent_agg",-0.0667095013830084,0,-0.0822052574063159,-0.0512137453597009,0.342183894100737,0.00389486886103629,0
