"","mediator","lhs","op","rhs","label","est.std","pvalue","ci.lower","ci.upper","pvalue_adj","significant"
"88","brain_latent_pc1","pm",":=","(a*b)/(c+a*b)","pm",0.052328686602038,0.0190420939788736,0.00858659438059468,0.0960707788234814,0.0276975912419979,TRUE
"89","brain_latent_pc2","brain_latent_pc2","~","cardio_latent_gvrf","a",0.0235462533565055,0.0287164135080082,0.00244782660483335,0.0446446801081777,0.0287164135080082,TRUE
"92","brain_latent_pc2","cog_latent_g","~","cardio_latent_gvrf","c",-0.0379750327130557,0.000418241273825171,-0.0590701045480044,-0.0168799608781071,0.00137904596709646,TRUE
"93","brain_latent_pc2","cog_latent_g","~","brain_latent_pc2","b",0.0425144311426445,3.31357484006922e-06,0.0245960830762876,0.0604327792090013,4.41809978675896e-06,TRUE
"96","brain_latent_pc2","de",":=","c","de",-0.0379750327130557,0.000418241273825171,-0.0590701045480044,-0.0168799608781071,0.00137904596709646,TRUE
"97","brain_latent_pc2","ie",":=","a*b","ie",0.00100105556699241,0.047816770427457,9.62576061897674e-06,0.00199248537336585,0.0588514097568702,FALSE
"98","brain_latent_pc2","te",":=","c+a*b","te",-0.0369739771460633,0.000597500940493711,-0.0580846732363813,-0.0158632810557453,0.000597507293656374,TRUE
"99","brain_latent_pc2","pm",":=","(a*b)/(c+a*b)","pm",-0.02707459798111,0.0917765187528512,-0.0585467725049293,0.00439757654270924,0.112955715388125,FALSE
"100","brain_latent_pc3","brain_latent_pc3","~","cardio_latent_gvrf","a",-0.0409050283004056,2.26245248597934e-05,-0.059825752714772,-0.0219843038860392,3.29083997960631e-05,TRUE
"103","brain_latent_pc3","cog_latent_g","~","cardio_latent_gvrf","c",-0.0316982474615579,0.00307617690193074,-0.0526870902281509,-0.0107094046949649,0.00410156920257432,TRUE
"104","brain_latent_pc3","cog_latent_g","~","brain_latent_pc3","b",0.128974332910011,0,0.109230983667876,0.148717682152146,0,TRUE
"107","brain_latent_pc3","de",":=","c","de",-0.0316982474615579,0.00307617690193074,-0.0526870902281509,-0.0107094046949649,0.00410156920257432,TRUE
"108","brain_latent_pc3","ie",":=","a*b","ie",-0.00527569873770994,5.78250141745063e-05,-0.00784691366702118,-0.0027044838083987,0.000115650028349013,TRUE
"109","brain_latent_pc3","te",":=","c+a*b","te",-0.0369739461992678,0.000597507293656374,-0.0580846423505031,-0.0158632500480325,0.000597507293656374,TRUE
"110","brain_latent_pc3","pm",":=","(a*b)/(c+a*b)","pm",0.142686926336643,0.00573412923753525,0.0414561087602766,0.24391774391301,0.0114682584750705,TRUE
"111","heart_latent_cc1","heart_latent_cc1","~","cardio_latent_gvrf","a",0.235362714054473,0,0.224303700733961,0.246421727374985,0,TRUE
"114","heart_latent_cc1","cog_latent_g","~","cardio_latent_gvrf","c",-0.0734801965462914,1.32152733200996e-10,-0.0958966717039464,-0.0510637213886364,2.11444373121594e-09,TRUE
"115","heart_latent_cc1","cog_latent_g","~","heart_latent_cc1","b",0.155106274816125,0,0.121860145789936,0.188352403842315,0,TRUE
"118","heart_latent_cc1","de",":=","c","de",-0.0734801965462914,1.32152733200996e-10,-0.0958966717039464,-0.0510637213886364,2.11444373121594e-09,TRUE
