"","mediator","lhs","op","rhs","label","est.std","pvalue","ci.lower","ci.upper","pvalue_adj"
"33","heart_latent_pc3","pm",":=","100*(a*b)/(c+a*b)","pm",-5.67093278156941,0.445947824666459,-20.2537187089344,8.91185314579561,0.445947824666459
"34","brain_latent_grey","brain_latent_grey","~","cardio_latent_gvrf","a",-0.0643809091247121,6.80122624885371e-13,-0.081947097492026,-0.0468147207573981,6.80122624885371e-13
"37","brain_latent_grey","cog_latent_g","~","cardio_latent_gvrf","c",-0.024486755179379,0.0215717261956709,-0.0453730929319766,-0.00360041742678146,0.0215717261956709
"38","brain_latent_grey","cog_latent_g","~","brain_latent_grey","b",0.193958609922035,0,0.172995741562135,0.214921478281935,0
"41","brain_latent_grey","de",":=","c","de",-0.024486755179379,0.0215717261956709,-0.0453730929319766,-0.00360041742678146,0.0265498168562104
"42","brain_latent_grey","ie",":=","a*b","ie",-0.012487231639346,2.48452369788765e-11,-0.0161542235440105,-0.00882023973468155,5.67891130945749e-11
"43","brain_latent_grey","te",":=","c+a*b","te",-0.036973986818725,0.00059749894634864,-0.0580846828664831,-0.0158632907709669,0.00059749894634864
"44","brain_latent_grey","pm",":=","100*(a*b)/(c+a*b)","pm",33.7730191244132,0.00113621894707538,13.4333622635624,54.112675985264,0.00113621894707538
"45","brain_latent_atrophy","brain_latent_atrophy","~","cardio_latent_gvrf","a",-0.0263341442123007,0.00267817135852133,-0.0435247709061153,-0.00914351751848602,0.00267817135852133
"48","brain_latent_atrophy","cog_latent_g","~","cardio_latent_gvrf","c",-0.0317056083797671,0.0028660545139525,-0.052546336057365,-0.0108648807021693,0.0028660545139525
"49","brain_latent_atrophy","cog_latent_g","~","brain_latent_atrophy","b",0.200058111005799,0,0.17861373317356,0.221502488838038,0
"52","brain_latent_atrophy","de",":=","c","de",-0.0317056083797671,0.0028660545139525,-0.052546336057365,-0.0108648807021693,0.00410156920257432
"53","brain_latent_atrophy","ie",":=","a*b","ie",-0.00526835914606717,0.00304975123154816,-0.00875364952875276,-0.00178306876338158,0.00443600179134278
"54","brain_latent_atrophy","te",":=","c+a*b","te",-0.0369739675258343,0.000597502942085493,-0.0580846637094139,-0.0158632713422547,0.000597502942085493
"55","brain_latent_atrophy","pm",":=","100*(a*b)/(c+a*b)","pm",14.2488337027561,0.0145271599006778,2.82179081530478,25.6758765902074,0.0145271599006778
"56","brain_latent_gMD","brain_latent_gMD","~","cardio_latent_gvrf","a",0.0430954334382015,3.16519976255591e-05,0.0227972926815475,0.0633935741948555,3.16519976255591e-05
"59","brain_latent_gMD","cog_latent_g","~","cardio_latent_gvrf","c",-0.0355969714206298,0.000953494092142959,-0.0567140619408753,-0.0144798809003843,0.000953494092142959
"60","brain_latent_gMD","cog_latent_g","~","brain_latent_gMD","b",-0.031952613890709,0.000774080257063714,-0.0505807599059121,-0.013324467875506,0.000774080257063714
"63","brain_latent_gMD","de",":=","c","de",-0.0355969714206298,0.000953494092142959,-0.0567140619408753,-0.0144798809003843,0.00214436328786663
"64","brain_latent_gMD","ie",":=","a*b","ie",-0.0013770117451036,0.00893507745224542,-0.00240927958925053,-0.000344743900956679,0.0119134366029939
"65","brain_latent_gMD","te",":=","c+a*b","te",-0.0369739831657334,0.000597499683846259,-0.058084679185991,-0.0158632871454759,0.000597499683846259
"66","brain_latent_gMD","pm",":=","100*(a*b)/(c+a*b)","pm",3.72427211569617,0.0358622211948718,0.245841162366936,7.20270306902539,0.0358622211948718
"67","brain_latent_gFA","brain_latent_gFA","~","cardio_latent_gvrf","a",-0.0434383211955153,4.32731564632416e-05,-0.0642580592046207,-0.02261858318641,4.32731564632416e-05
"70","brain_latent_gFA","cog_latent_g","~","cardio_latent_gvrf","c",-0.0348567623550895,0.00120620434942498,-0.055959440600122,-0.013754084110057,0.00120620434942498
"71","brain_latent_gFA","cog_latent_g","~","brain_latent_gFA","b",0.0487410579792917,1.3853352354154e-07,0.0306040901621055,0.066878025796478,1.3853352354154e-07
"74","brain_latent_gFA","de",":=","c","de",-0.0348567623550895,0.00120620434942498,-0.055959440600122,-0.013754084110057,0.00214436328786663
"75","brain_latent_gFA","ie",":=","a*b","ie",-0.00211722973191371,0.0012424597929277,-0.00340238283057609,-0.00083207663325133,0.00220881740964924
"76","brain_latent_gFA","te",":=","c+a*b","te",-0.0369739920870032,0.00059749785473362,-0.0580846880962494,-0.0158632960777569,0.00059749785473362
"77","brain_latent_gFA","pm",":=","100*(a*b)/(c+a*b)","pm",5.72626760705653,0.0165647295517786,1.04254270401034,10.4099925101027,0.0165647295517786
"78","brain_latent_pc1","brain_latent_pc1","~","cardio_latent_gvrf","a",-0.0418571139917639,4.32348543060179e-05,-0.0619179807559755,-0.0217962472275522,4.32348543060179e-05
"81","brain_latent_pc1","cog_latent_g","~","cardio_latent_gvrf","c",-0.0350391646427133,0.00113893110813024,-0.0561457447174842,-0.0139325845679423,0.00113893110813024
"82","brain_latent_pc1","cog_latent_g","~","brain_latent_pc1","b",0.0462238976590689,1.50232835771646e-06,0.027392350541547,0.0650554447765908,1.50232835771646e-06
"85","brain_latent_pc1","de",":=","c","de",-0.0350391646427133,0.00113893110813024,-0.0561457447174842,-0.0139325845679423,0.00214436328786663
"86","brain_latent_pc1","ie",":=","a*b","ie",-0.00193479895345928,0.00183944694058313,-0.0031521780368668,-0.000717419870051747,0.00294311510493301
"87","brain_latent_pc1","te",":=","c+a*b","te",-0.0369739635961725,0.000597503705182412,-0.0580846596657131,-0.0158632675266319,0.000597503705182412
"88","brain_latent_pc1","pm",":=","100*(a*b)/(c+a*b)","pm",5.2328686602038,0.0190420939694498,0.858659438403741,9.60707788200387,0.0190420939694498
"89","brain_latent_pc2","brain_latent_pc2","~","cardio_latent_gvrf","a",0.0235462533565055,0.0287164135080082,0.00244782660483335,0.0446446801081777,0.0287164135080082
"92","brain_latent_pc2","cog_latent_g","~","cardio_latent_gvrf","c",-0.0379750327130557,0.000418241273825171,-0.0590701045480044,-0.0168799608781071,0.000418241273825171
"93","brain_latent_pc2","cog_latent_g","~","brain_latent_pc2","b",0.0425144311426445,3.31357484006922e-06,0.0245960830762876,0.0604327792090013,3.31357484006922e-06
"96","brain_latent_pc2","de",":=","c","de",-0.0379750327130557,0.000418241273825171,-0.0590701045480044,-0.0168799608781071,0.00137904596709646
"97","brain_latent_pc2","ie",":=","a*b","ie",0.00100105556699241,0.047816770427457,9.62576061897674e-06,0.00199248537336585,0.0588514097568702
"98","brain_latent_pc2","te",":=","c+a*b","te",-0.0369739771460633,0.000597500940493711,-0.0580846732363813,-0.0158632810557453,0.000597500940493711
"99","brain_latent_pc2","pm",":=","100*(a*b)/(c+a*b)","pm",-2.707459798111,0.091776518700535,-5.85467724998585,0.439757653763847,0.091776518700535
"100","brain_latent_pc3","brain_latent_pc3","~","cardio_latent_gvrf","a",-0.0409050283004056,2.26245248597934e-05,-0.059825752714772,-0.0219843038860392,2.26245248597934e-05
"103","brain_latent_pc3","cog_latent_g","~","cardio_latent_gvrf","c",-0.0316982474615579,0.00307617690193074,-0.0526870902281509,-0.0107094046949649,0.00307617690193074
"104","brain_latent_pc3","cog_latent_g","~","brain_latent_pc3","b",0.128974332910011,0,0.109230983667876,0.148717682152146,0
"107","brain_latent_pc3","de",":=","c","de",-0.0316982474615579,0.00307617690193074,-0.0526870902281509,-0.0107094046949649,0.00410156920257432
"108","brain_latent_pc3","ie",":=","a*b","ie",-0.00527569873770994,5.78250141745063e-05,-0.00784691366702118,-0.0027044838083987,0.000115650028349013
"109","brain_latent_pc3","te",":=","c+a*b","te",-0.0369739461992678,0.000597507293656374,-0.0580846423505031,-0.0158632500480325,0.000597507293656374
"110","brain_latent_pc3","pm",":=","100*(a*b)/(c+a*b)","pm",14.2686926336643,0.00573412927087902,4.14561086907198,24.3917743982567,0.00573412927087902
"111","heart_latent_cc1","heart_latent_cc1","~","cardio_latent_gvrf","a",0.235362714054473,0,0.224303700733961,0.246421727374985,0
"114","heart_latent_cc1","cog_latent_g","~","cardio_latent_gvrf","c",-0.0734801965462914,1.32152733200996e-10,-0.0958966717039464,-0.0510637213886364,1.32152733200996e-10
"115","heart_latent_cc1","cog_latent_g","~","heart_latent_cc1","b",0.155106274816125,0,0.121860145789936,0.188352403842315,0
"118","heart_latent_cc1","de",":=","c","de",-0.0734801965462914,1.32152733200996e-10,-0.0958966717039464,-0.0510637213886364,2.11444373121594e-09
"119","heart_latent_cc1","ie",":=","a*b","ie",0.0365062338076022,0,0.0284929637748435,0.0445195038403608,0
"120","heart_latent_cc1","te",":=","c+a*b","te",-0.0369739627386892,0.000597503951418554,-0.0580846590058334,-0.0158632664715451,0.000597503951418554
"121","heart_latent_cc1","pm",":=","100*(a*b)/(c+a*b)","pm",-98.734977545164,0.00146780371547228,-159.570730460828,-37.8992246295004,0.00146780371547228
"122","heart_latent_cc2","heart_latent_cc2","~","cardio_latent_gvrf","a",-0.565230529103784,0,-0.579184679849077,-0.55127637835849,0
"125","heart_latent_cc2","cog_latent_g","~","cardio_latent_gvrf","c",0.0263556853567406,0.0363871001089426,0.0016702182644906,0.0510411524489906,0.0363871001089426
"126","heart_latent_cc2","cog_latent_g","~","heart_latent_cc2","b",0.112042147343222,0,0.0892806150238799,0.134803679662563,0
"129","heart_latent_cc2","de",":=","c","de",0.0263556853567406,0.0363871001089426,0.0016702182644906,0.0510411524489906,0.041585257267363
"130","heart_latent_cc2","ie",":=","a*b","ie",-0.0633296422247333,0,-0.0763073641820712,-0.0503519202673953,0
"131","heart_latent_cc2","te",":=","c+a*b","te",-0.0369739568679927,0.000597505094845685,-0.0580846529742593,-0.0158632607617261,0.000597505094845685
"132","heart_latent_cc2","pm",":=","100*(a*b)/(c+a*b)","pm",171.281755022428,0.00119607817711898,67.6628121405769,274.900697904278,0.00119607817711898
"133","heart_latent_cc3","heart_latent_cc3","~","cardio_latent_gvrf","a",-0.510126399990026,0,-0.526316471317845,-0.493936328662207,0
"136","heart_latent_cc3","cog_latent_g","~","cardio_latent_gvrf","c",-0.0388698325857816,0.00119405253202798,-0.0623810945589983,-0.0153585706125648,0.00119405253202798
"137","heart_latent_cc3","cog_latent_g","~","heart_latent_cc3","b",-0.00371645970664964,0.719663704442564,-0.0240116926662472,0.0165787732529479,0.719663704442564
"140","heart_latent_cc3","de",":=","c","de",-0.0388698325857816,0.00119405253202798,-0.0623810945589983,-0.0153585706125648,0.00214436328786663
"141","heart_latent_cc3","ie",":=","a*b","ie",0.00189586421086117,0.719669053489329,-0.00845747617085296,0.0122492045925753,0.719669053489329
"142","heart_latent_cc3","te",":=","c+a*b","te",-0.0369739683749204,0.000597502756244817,-0.0580846645246524,-0.0158632722251883,0.000597502756244817
"143","heart_latent_cc3","pm",":=","100*(a*b)/(c+a*b)","pm",-5.12756486303251,0.721129745289403,-33.2823808370862,23.0272511110212,0.721129745289403
"144","brain_latent_cc1","brain_latent_cc1","~","cardio_latent_gvrf","a",0.128435607470352,0,0.114875827781319,0.141995387159386,0
"147","brain_latent_cc1","cog_latent_g","~","cardio_latent_gvrf","c",-0.0537167997069229,7.85666060432177e-07,-0.0750339158630197,-0.032399683550826,7.85666060432177e-07
"148","brain_latent_cc1","cog_latent_g","~","brain_latent_cc1","b",0.130359802799065,0,0.102822479606936,0.157897125991194,0
"151","brain_latent_cc1","de",":=","c","de",-0.0537167997069229,7.85666060432177e-07,-0.0750339158630197,-0.032399683550826,4.19021898897161e-06
"152","brain_latent_cc1","ie",":=","a*b","ie",0.0167428404622132,0,0.0127866683072437,0.0206990126171826,0
"153","brain_latent_cc1","te",":=","c+a*b","te",-0.0369739592447097,0.000597504603665033,-0.058084655337209,-0.0158632631522104,0.000597504603665033
"154","brain_latent_cc1","pm",":=","100*(a*b)/(c+a*b)","pm",-45.2827903860708,0.00176846529214303,-73.6691940987608,-16.8963866733808,0.00176846529214303
"155","brain_latent_cc2","brain_latent_cc2","~","cardio_latent_gvrf","a",-0.355250004555605,0,-0.370536271707536,-0.339963737403674,0
"158","brain_latent_cc2","cog_latent_g","~","cardio_latent_gvrf","c",0.0208935623008443,0.0689185382195603,-0.00161972989058264,0.0434068544922712,0.0689185382195603
"159","brain_latent_cc2","cog_latent_g","~","brain_latent_cc2","b",0.162892403433401,0,0.139912309031762,0.18587249783504,0
"162","brain_latent_cc2","de",":=","c","de",0.0208935623008443,0.0689185382195603,-0.00161972989058264,0.0434068544922712,0.0735131074341976
"163","brain_latent_cc2","ie",":=","a*b","ie",-0.0578675270617892,0,-0.066423428313401,-0.0493116258101774,0
"164","brain_latent_cc2","te",":=","c+a*b","te",-0.0369739647609449,0.000597503486920559,-0.0580846608864022,-0.0158632686354877,0.000597503486920559
"165","brain_latent_cc2","pm",":=","100*(a*b)/(c+a*b)","pm",156.508850040648,0.000807279490429691,64.9490122297748,248.06868785152,0.000807279490429691
"166","brain_latent_cc3","brain_latent_cc3","~","cardio_latent_gvrf","a",-0.301208701238177,0,-0.319762354733051,-0.282655047743304,0
"169","brain_latent_cc3","cog_latent_g","~","cardio_latent_gvrf","c",-0.034289793553732,0.00216274185721521,-0.0562032061241843,-0.0123763809832796,0.00216274185721521
"170","brain_latent_cc3","cog_latent_g","~","brain_latent_cc3","b",0.0089112877202083,0.370267451875848,-0.0105823943159188,0.0284049697563354,0.370267451875848
"173","brain_latent_cc3","de",":=","c","de",-0.034289793553732,0.00216274185721521,-0.0562032061241843,-0.0123763809832796,0.00346038697154434
"174","brain_latent_cc3","ie",":=","a*b","ie",-0.00268415740056366,0.370467653909216,-0.00855828114716387,0.00318996634603655,0.423391604467675
"175","brain_latent_cc3","te",":=","c+a*b","te",-0.0369739509542956,0.000597506308361861,-0.0580846470707295,-0.0158632548378618,0.000597506308361861
"176","brain_latent_cc3","pm",":=","100*(a*b)/(c+a*b)","pm",7.25959041780958,0.386181257436987,-9.15990670246306,23.6790875380822,0.386181257436987
