"","Mode1","Mode2","Mode3","Mode4","Mode5","Mode6","Mode7","Mode8","Mode9","Mode10"
"heart_cmr_WT_AHA_9",-0.74546984684809,0.209783798438358,-0.151657123738694,-0.0554890086226399,0.0338730217370818,-0.00423882669891662,-0.012070180308471,-0.0408342635723645,-0.0449700170149455,-0.0129878080643219
"heart_cmr_WT_AHA_10",-0.765257327435002,0.143977557346985,-0.171277998165719,-0.0563200131266535,0.00283627796556883,-0.047926228934279,-0.00301415091126175,-0.0247925139002974,-0.0359544621662642,0.0157347485793107
"heart_cmr_WT_AHA_11",-0.72827906974515,0.10000074628903,-0.202748633712361,-0.0396785565457695,-0.000925254622546636,-0.117247977700277,-0.0092076491672302,-0.0441658355612833,-0.0757491879498109,0.0290838922894066
"heart_cmr_WT_AHA_12",-0.730169674092573,0.116405391138555,-0.156769561372177,-0.0592034920020454,0.0332091426096792,-0.128488635550416,-0.00189362079288112,-0.020784674201382,-0.0424148283839099,0.0817480353875512
"heart_cmr_WT_AHA_13",-0.671356439756746,0.126889529570277,-0.142867092332544,6.17871037075587e-05,-0.0143833017005889,-0.0559771341525387,-0.0599183472239418,-0.00965365371073704,0.00681401608100795,0.0030619398408904
"heart_cmr_WT_AHA_14",-0.707686865372858,0.146507355621231,-0.129678827048868,0.0248423726008252,0.000747161265363341,-0.0236275509543703,-0.0443235804472064,0.0232186233378774,-0.0285314749441055,0.0196846291875457
"heart_cmr_WT_AHA_15",-0.681811989563679,0.108561457283868,-0.125240801590619,0.0255452881677721,-0.0214501628898375,-0.0548984803114635,-0.00207755440874164,-0.0163998299012371,0.0212283730391478,0.0351555082464273
"heart_cmr_WT_AHA_16",-0.662424372243165,0.115703159457817,-0.174152194903439,0.0490895390498973,0.00925785597128767,-0.082675308563359,-0.00587690787263749,0.00288084131544436,0.04979241917004,0.0218183902886663
"heart_cmr_WT_Global",-0.794568887135749,0.139119235172273,-0.149486328885338,-0.0706544485562762,0.033953624495692,-0.0791818017726901,0.0348383329711756,-0.0585848174442203,-0.0524450099053841,0.0482277396864754
"heart_cmr_Ecc_AHA_1",-0.103215686936217,-0.190099843866543,-0.023549583610375,-0.0516418292948868,-0.0222114642904704,-0.113058246641215,-0.122380933785729,-0.054115412163071,0.00822926782381596,-0.0100770691244974
"heart_cmr_Ecc_AHA_2",-0.457466857431457,0.189033334018954,-0.0627907063368774,0.031237309279085,0.0109574555760863,0.00412406622108618,-0.0980809684404603,0.0267676726927201,0.0248371258157064,-0.0515026753355637
"heart_cmr_Ecc_AHA_3",-0.11060765402455,-0.0272259609007856,-0.0237133492889244,-0.0466123339476399,0.083877997059254,-0.0697716999018573,-0.0113212204353359,-0.0382883030162339,0.0307332200726357,0.0267133159731414
