,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
heart_shape_MajorAxis_RV_ED,0.063203844,-0.062840702,0.024708443,-0.004313285,0.017787404,-0.043734683,-0.017097117,-0.016421995,-0.004750386,-0.059628368
heart_texture_RunEntropy_glrlm_MYO_ED,0.019976199,-0.062495476,-0.028322953,0.114616652,-0.069453797,0.060551684,0.062497382,0.016855455,0.098315024,0.073689911
heart_texture_Contrast_glcm_MYO_ES,-0.054768069,-0.062407395,0.081097597,0.04548897,-0.090868055,0.046171722,0.008228988,0.04082892,-0.050385154,-0.022338927
heart_texture_Contrast_glcm_MYO_ED,-0.075737311,-0.062406259,0.045807584,0.055319413,-0.07791083,-0.042009222,-0.008947307,0.0120041,0.047398775,-0.026162461
heart_texture_DependenceEntropy_gldm_MYO_ES,0.014949236,-0.061712561,0.074857227,0.087937364,0.067154961,0.100114991,0.053655335,-0.084945771,-0.027733004,0.068726846
heart_shape_Volume_LV_ED,0.082892605,-0.060257191,0.053069134,-0.010180617,0.033599435,-0.078251172,0.004435472,-0.045262533,0.014453681,-0.006714705
heart_cmr_LVEDV,0.082892607,-0.060257187,0.053069134,-0.010180616,0.033599434,-0.078251168,0.004435473,-0.045262534,0.014453684,-0.006714708
heart_shape_SurfaceArea_RV_ES,0.081608207,-0.060089591,0.041738533,-0.046949747,-0.002962646,-0.045028066,0.003638174,0.001279714,-0.009478582,0.058010785
heart_texture_RunEntropy_glrlm_MYO_ES,0.047070136,-0.058711402,-0.022203085,0.119940996,0.006884229,0.054099135,0.069130647,-0.138586027,0.055770333,0.005296311
heart_cmr_LVESV,0.079210089,-0.058601762,0.056826385,-0.070937153,-0.01802825,-0.012974667,0.008945724,-0.022043857,0.027576695,0.002553228
heart_shape_Volume_LV_ES,0.079210081,-0.058601719,0.056826454,-0.070937197,-0.018028324,-0.012974698,0.00894558,-0.02204389,0.027576565,0.002553023
heart_shape_Max2DdiameterSlice_RV_ED,0.045843006,-0.058193368,0.017516809,-0.022520823,0.022182619,-0.09202229,0.020822187,0.013292788,-0.041053611,0.007924655
heart_shape_MinorAxis_RV_ED,0.062479014,-0.057588081,0.021560723,-0.01467123,0.032103809,-0.106243164,0.015051937,0.009475543,-0.04885816,0.083539708
heart_shape_Volume_RV_ED,0.083811292,-0.057456642,0.038304624,-0.000521944,0.036866058,-0.081190293,0.008495089,-0.033545666,-0.006669907,0.060222096
heart_cmr_RVEDV,0.083811293,-0.057456639,0.038304624,-0.000521943,0.036866057,-0.081190291,0.00849509,-0.033545666,-0.006669904,0.060222096
heart_texture_SumEntropy_glcm_MYO_ED,-0.069311468,-0.057450137,0.065102206,0.047941089,0.050902966,-0.02675941,-0.012848557,0.054674622,0.131494477,0.01475127
heart_intensity_Entropy_MYO_ED,-0.078456523,-0.057089968,0.056447016,0.040881876,0.029540237,-0.03503656,-0.008789397,0.043271986,0.110933496,0.022115485
heart_texture_InverseDifferenceMomentNormalized_glcm_MYO_ED,0.01906253,-0.056833762,-0.095150721,-0.008556964,-0.014382479,-0.034240283,-0.013132863,0.062578663,-0.03547926,0.144530153
heart_texture_RunLengthNonUniformity_glrlm_MYO_ED,0.050536165,-0.056120398,0.095514219,0.006612052,0.054359504,-0.081566379,-0.040678008,0.069239684,-0.006953838,-0.061305792
heart_shape_LeastAxis_LV_ES,0.070349805,-0.055975918,0.067351614,-0.092728792,-0.015235545,-0.039486297,0.046087522,-0.014934804,0.030121977,-0.018045856
heart_shape_MinorAxis_LV_ED,0.066527512,-0.055785764,0.06524847,-0.036286986,0.033934271,-0.115330712,0.077416733,-0.020826989,-0.009401344,-0.045309756
heart_texture_DifferenceEntropy_glcm_MYO_ES,-0.062635672,-0.055471333,0.095550641,0.013427229,-0.040573675,0.059170092,-0.001313645,0.046244958,-0.087959431,0.021918789
heart_intensity_MeanAbsoluteDeviation_MYO_ED,-0.076161971,-0.055069405,0.058456025,0.065764522,-0.03113652,-0.04268295,0.006483009,0.025352032,0.1019389,0.006446079
heart_shape_LeastAxis_MYO_ED,0.082212078,-0.055048462,0.04731167,-0.008234407,0.028676509,-0.077224305,0.069086142,-0.012063624,-0.013266762,-0.009881646
heart_shape_Volume_RV_ES,0.081317981,-0.05469582,0.042249356,-0.044959333,-0.00199497,-0.038409415,0.007319792,-0.01316192,0.007420125,0.094297408
heart_cmr_RVESV,0.081317982,-0.054695818,0.042249357,-0.044959333,-0.00199497,-0.038409414,0.007319791,-0.01316192,0.007420128,0.094297405
heart_texture_InformalMeasureofCorrelation2_glcm_MYO_ES,0.031598226,-0.05440056,0.031079514,0.090663057,0.066036931,0.067244688,0.063228735,-0.16279556,0.005776637,0.02374367
heart_shape_LeastAxis_LV_ED,0.0707506,-0.054148149,0.060306863,-0.030916167,0.03550375,-0.108037999,0.083302162,-0.024827359,0.004254723,-0.020582809
heart_shape_MinorAxis_MYO_ED,0.078917689,-0.05397358,0.055813494,-0.020532953,0.03282537,-0.09276783,0.085758827,-0.010336183,-0.002707643,-0.027286816
heart_texture_ZonePercentage_glszm_MYO_ES,-0.060184985,-0.052792619,0.019256329,-0.044338119,-0.117036635,-0.048814855,-0.027137265,0.009147545,0.005402922,-0.101170244
heart_shape_SurfaceArea_LV_ES,0.082851231,-0.052573185,0.061150134,-0.059810536,-0.016404199,-0.014140522,-0.022704195,-0.002283836,0.005463584,-0.027422691
heart_texture_JointEntropy_glcm_MYO_ED,-0.077699146,-0.052223697,0.066644033,0.032556575,0.048511367,-0.033974894,-0.02181302,0.047157106,0.108340925,0.005520178
heart_texture_SmallDependenceEmphasis_gldm_MYO_ES,-0.068114366,-0.052112336,0.048933267,-0.05069449,-0.098643567,-0.029382286,-0.03301592,0.031026931,-0.030272793,-0.075344797
