"","lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper"
"12","gfa","=~","brain_bio.weighted.mean_fa_in_tract_inferior_fronto.occipital_fasciculus_.right..0.imaging",0.919378453762286,0.00168670490867615,545.073681254585,0,0.916072572888733,0.922684334635838
"13","gfa","=~","brain_bio.weighted.mean_fa_in_tract_inferior_longitudinal_fasciculus_.left..0.imaging",0.870061642617984,0.00248291530091687,350.419380917543,0,0.865195218051524,0.874928067184444
"14","gfa","=~","brain_bio.weighted.mean_fa_in_tract_inferior_longitudinal_fasciculus_.right..0.imaging",0.894459965012555,0.00209290963387186,427.376294961103,0,0.890357937507269,0.898561992517841
"15","gfa","=~","brain_bio.weighted.mean_fa_in_tract_posterior_thalamic_radiation_.left..0.imaging",0.741314778287854,0.0043200820531119,171.597383839934,0,0.732847573053497,0.749781983522211
"16","gfa","=~","brain_bio.weighted.mean_fa_in_tract_posterior_thalamic_radiation_.right..0.imaging",0.753322813199415,0.00415628821914152,181.248934982429,0,0.745176637980529,0.7614689884183
"17","gfa","=~","brain_bio.weighted.mean_fa_in_tract_superior_longitudinal_fasciculus_.left..0.imaging",0.807515636440647,0.00338934374740924,238.251324333184,0,0.800872644764499,0.814158628116796
"18","gfa","=~","brain_bio.weighted.mean_fa_in_tract_superior_longitudinal_fasciculus_.right..0.imaging",0.784176406017521,0.00372805186764788,210.344821868661,0,0.776869558624434,0.791483253410608
"19","gfa","=~","brain_bio.weighted.mean_fa_in_tract_superior_thalamic_radiation_.left..0.imaging",0.638836357205883,0.00560415479855383,113.993346038681,0,0.62785241563693,0.649820298774836
"20","gfa","=~","brain_bio.weighted.mean_fa_in_tract_superior_thalamic_radiation_.right..0.imaging",0.636650632238176,0.0056296204553562,113.089441337461,0,0.625616778899048,0.647684485577304
"21","gfa","=~","brain_bio.weighted.mean_fa_in_tract_uncinate_fasciculus_.left..0.imaging",0.640905651630038,0.00558318484511573,114.792124819352,0,0.629962810414582,0.651848492845495
"22","gfa","=~","brain_bio.weighted.mean_fa_in_tract_uncinate_fasciculus_.right..0.imaging",0.682662619707802,0.00507841955455764,134.424226351118,0,0.672709100282485,0.692616139133119
"23","brain_bio.weighted.mean_fa_in_tract_acoustic_radiation_.left..0.imaging","~~","brain_bio.weighted.mean_fa_in_tract_acoustic_radiation_.right..0.imaging",0.368656818609434,0.00805076181783451,45.7915445706969,0,0.352877615398368,0.3844360218205
"24","brain_bio.weighted.mean_fa_in_tract_anterior_thalamic_radiation_.left..0.imaging","~~","brain_bio.weighted.mean_fa_in_tract_anterior_thalamic_radiation_.right..0.imaging",0.614967039008414,0.00598868195000656,102.688211553419,0,0.603229438071536,0.626704639945292
"25","brain_bio.weighted.mean_fa_in_tract_cingulate_gyrus_part_of_cingulum_.left..0.imaging","~~","brain_bio.weighted.mean_fa_in_tract_cingulate_gyrus_part_of_cingulum_.right..0.imaging",0.456319473751455,0.0073073418203759,62.4467124938712,0,0.441997346960795,0.470641600542115
"26","brain_bio.weighted.mean_fa_in_tract_corticospinal_tract_.left..0.imaging","~~","brain_bio.weighted.mean_fa_in_tract_corticospinal_tract_.right..0.imaging",0.706070232847027,0.00463437377986354,152.355046525362,0,0.696987027147598,0.715153438546457
"27","brain_bio.weighted.mean_fa_in_tract_forceps_major.0.imaging","~~","brain_bio.weighted.mean_fa_in_tract_forceps_minor.0.imaging",-0.0681177802175932,0.00975364107337897,-6.98383093094434,2.8723690093102e-12,-0.0872345654395466,-0.0490009949956398
"28","brain_bio.weighted.mean_fa_in_tract_inferior_fronto.occipital_fasciculus_.left..0.imaging","~~","brain_bio.weighted.mean_fa_in_tract_inferior_fronto.occipital_fasciculus_.right..0.imaging",0.258097508292486,0.00917985560789737,28.115639212282,0,0.240105321917729,0.276089694667243
"29","brain_bio.weighted.mean_fa_in_tract_inferior_longitudinal_fasciculus_.left..0.imaging","~~","brain_bio.weighted.mean_fa_in_tract_inferior_longitudinal_fasciculus_.right..0.imaging",0.332003254707823,0.00943491517401705,35.1887906339775,0,0.313511160769559,0.350495348646087
"30","brain_bio.weighted.mean_fa_in_tract_posterior_thalamic_radiation_.left..0.imaging","~~","brain_bio.weighted.mean_fa_in_tract_posterior_thalamic_radiation_.right..0.imaging",0.558856030868717,0.00651674321200814,85.7569513923666,0,0.546083448876686,0.571628612860749
"31","brain_bio.weighted.mean_fa_in_tract_superior_longitudinal_fasciculus_.left..0.imaging","~~","brain_bio.weighted.mean_fa_in_tract_superior_longitudinal_fasciculus_.right..0.imaging",0.652195645898943,0.00551030214108283,118.359325713994,0,0.641395652158487,0.662995639639399
"32","brain_bio.weighted.mean_fa_in_tract_superior_thalamic_radiation_.left..0.imaging","~~","brain_bio.weighted.mean_fa_in_tract_superior_thalamic_radiation_.right..0.imaging",0.800839851987965,0.00333240699573677,240.31874048173,0,0.794308454294492,0.807371249681439
"33","brain_bio.weighted.mean_fa_in_tract_uncinate_fasciculus_.left..0.imaging","~~","brain_bio.weighted.mean_fa_in_tract_uncinate_fasciculus_.right..0.imaging",0.37094410095524,0.0080823400137034,45.8956317509921,0,0.355103005617574,0.386785196292905
"34","brain_bio.weighted.mean_fa_in_tract_inferior_fronto.occipital_fasciculus_.left..0.imaging","~~","brain_bio.weighted.mean_fa_in_tract_inferior_longitudinal_fasciculus_.left..0.imaging",0.435763181202632,0.00786072987711437,55.4354605761619,0,0.42035643375129,0.451169928653974
"35","brain_bio.weighted.mean_fa_in_tract_inferior_fronto.occipital_fasciculus_.left..0.imaging","~~","brain_bio.weighted.mean_fa_in_tract_inferior_longitudinal_fasciculus_.right..0.imaging",-0.0144053970661503,0.0106670757143962,-1.35045418743104,0.176870339352405,-0.0353124812867288,0.00650168715442813
"36","brain_bio.weighted.mean_fa_in_tract_inferior_fronto.occipital_fasciculus_.right..0.imaging","~~","brain_bio.weighted.mean_fa_in_tract_inferior_fronto.occipital_fasciculus_.right..0.imaging",0.154743258757669,0.00310144021500454,49.8940002161036,0,0.148664547636056,0.160821969879282
"37","brain_bio.weighted.mean_fa_in_tract_acoustic_radiation_.left..0.imaging","~~","brain_bio.weighted.mean_fa_in_tract_acoustic_radiation_.left..0.imaging",0.624048142145211,0.00723387746506466,86.2674471829241,0,0.609870002845109,0.638226281445314
"38","brain_bio.weighted.mean_fa_in_tract_acoustic_radiation_.right..0.imaging","~~","brain_bio.weighted.mean_fa_in_tract_acoustic_radiation_.right..0.imaging",0.6207640949853,0.00722845440514446,85.8778461054558,0,0.606596584687327,0.634931605283273
"39","brain_bio.weighted.mean_fa_in_tract_anterior_thalamic_radiation_.left..0.imaging","~~","brain_bio.weighted.mean_fa_in_tract_anterior_thalamic_radiation_.left..0.imaging",0.34575699229149,0.00545376805243175,63.3978176129663,0,0.335067803328689,0.356446181254292
"40","brain_bio.weighted.mean_fa_in_tract_anterior_thalamic_radiation_.right..0.imaging","~~","brain_bio.weighted.mean_fa_in_tract_anterior_thalamic_radiation_.right..0.imaging",0.357970823906718,0.00558103108231425,64.1406253839176,0,0.347032203988784,0.368909443824653
"41","brain_bio.weighted.mean_fa_in_tract_cingulate_gyrus_part_of_cingulum_.left..0.imaging","~~","brain_bio.weighted.mean_fa_in_tract_cingulate_gyrus_part_of_cingulum_.left..0.imaging",0.740855752047707,0.00708885917950223,104.509870105747,0,0.726961843364407,0.754749660731008
"42","brain_bio.weighted.mean_fa_in_tract_cingulate_gyrus_part_of_cingulum_.right..0.imaging","~~","brain_bio.weighted.mean_fa_in_tract_cingulate_gyrus_part_of_cingulum_.right..0.imaging",0.767187931366961,0.00695125833200842,110.366770262917,0,0.753563715388991,0.780812147344932
"43","brain_bio.weighted.mean_fa_in_tract_corticospinal_tract_.left..0.imaging","~~","brain_bio.weighted.mean_fa_in_tract_corticospinal_tract_.left..0.imaging",0.693559850172434,0.00723074821293758,95.9181304268741,0,0.679387844093799,0.707731856251069
"44","brain_bio.weighted.mean_fa_in_tract_corticospinal_tract_.right..0.imaging","~~","brain_bio.weighted.mean_fa_in_tract_corticospinal_tract_.right..0.imaging",0.697391098132994,0.0072239185800618,96.5391692062825,0,0.683232477888823,0.711549718377165
"45","brain_bio.weighted.mean_fa_in_tract_forceps_major.0.imaging","~~","brain_bio.weighted.mean_fa_in_tract_forceps_major.0.imaging",0.651863713222291,0.00728361981826715,89.4972183456681,0,0.637588080701405,0.666139345743176
"46","brain_bio.weighted.mean_fa_in_tract_forceps_minor.0.imaging","~~","brain_bio.weighted.mean_fa_in_tract_forceps_minor.0.imaging",0.3015781593876,0.00497482324701823,60.6208792580435,0,0.291827684993991,0.311328633781208
"47","brain_bio.weighted.mean_fa_in_tract_inferior_fronto.occipital_fasciculus_.left..0.imaging","~~","brain_bio.weighted.mean_fa_in_tract_inferior_fronto.occipital_fasciculus_.left..0.imaging",0.211627379469796,0.00393897686527292,53.7264844928539,0,0.203907126677925,0.219347632261667
"48","brain_bio.weighted.mean_fa_in_tract_inferior_longitudinal_fasciculus_.left..0.imaging","~~","brain_bio.weighted.mean_fa_in_tract_inferior_longitudinal_fasciculus_.left..0.imaging",0.242992738044895,0.00432057872889366,56.2407846939331,0,0.234524559343894,0.251460916745897
"49","brain_bio.weighted.mean_fa_in_tract_inferior_longitudinal_fasciculus_.right..0.imaging","~~","brain_bio.weighted.mean_fa_in_tract_inferior_longitudinal_fasciculus_.right..0.imaging",0.199941370989739,0.00374404775606577,53.4024627933262,0,0.192603172231452,0.207279569748026
"50","brain_bio.weighted.mean_fa_in_tract_posterior_thalamic_radiation_.left..0.imaging","~~","brain_bio.weighted.mean_fa_in_tract_posterior_thalamic_radiation_.left..0.imaging",0.45045239949203,0.00640508145811745,70.3273490645698,0,0.437898670516074,0.463006128467985
"51","brain_bio.weighted.mean_fa_in_tract_posterior_thalamic_radiation_.right..0.imaging","~~","brain_bio.weighted.mean_fa_in_tract_posterior_thalamic_radiation_.right..0.imaging",0.43250473911332,0.006262053525648,69.0675570468817,0,0.420231339733788,0.444778138492852
"52","brain_bio.weighted.mean_fa_in_tract_superior_longitudinal_fasciculus_.left..0.imaging","~~","brain_bio.weighted.mean_fa_in_tract_superior_longitudinal_fasciculus_.left..0.imaging",0.347918496903856,0.00547389616782124,63.5595718729786,0,0.337189857559815,0.358647136247898
"53","brain_bio.weighted.mean_fa_in_tract_superior_longitudinal_fasciculus_.right..0.imaging","~~","brain_bio.weighted.mean_fa_in_tract_superior_longitudinal_fasciculus_.right..0.imaging",0.385067364245444,0.00584690068120995,65.8583727072577,0,0.37360764948909,0.396527079001798
"54","brain_bio.weighted.mean_fa_in_tract_superior_thalamic_radiation_.left..0.imaging","~~","brain_bio.weighted.mean_fa_in_tract_superior_thalamic_radiation_.left..0.imaging",0.591888108711918,0.00716027566870702,82.6627543543723,0,0.577854226281873,0.605921991141962
"55","brain_bio.weighted.mean_fa_in_tract_superior_thalamic_radiation_.right..0.imaging","~~","brain_bio.weighted.mean_fa_in_tract_superior_thalamic_radiation_.right..0.imaging",0.594675972470731,0.00716820280132915,82.9602606054149,0,0.580626553146247,0.608725391795215
"56","brain_bio.weighted.mean_fa_in_tract_uncinate_fasciculus_.left..0.imaging","~~","brain_bio.weighted.mean_fa_in_tract_uncinate_fasciculus_.left..0.imaging",0.589239945708676,0.0071565894598556,82.3353007761556,0,0.57521328811522,0.603266603302132
"57","brain_bio.weighted.mean_fa_in_tract_uncinate_fasciculus_.right..0.imaging","~~","brain_bio.weighted.mean_fa_in_tract_uncinate_fasciculus_.right..0.imaging",0.533971747653681,0.00693369443733879,77.0111449933788,0,0.520381956276692,0.547561539030671
"58","gfa","~~","gfa",1,0,NA,NA,1,1
