"","Mode1","Mode2","Mode3","Mode4","Mode5","Mode6","Mode7","Mode8","Mode9","Mode10"
"heart_shape_Max2DdiameterRow_RV_ES",-0.502878095860009,-0.279624363244741,0.0437342147960226,0.0125510270636513,-0.00629502019493907,0.0377753118134416,-0.0729434642401031,0.100287165511361,-0.0724305903265789,-0.00864202808001165
"heart_shape_MajorAxis_RV_ES",-0.627317751501966,-0.23843023325129,0.0440786109274979,0.0852885867518555,-0.0263928959458081,0.0131975958293639,-0.0786592369279752,0.0835030999508288,-0.0182405704998049,-0.0301031663612644
"heart_shape_MinorAxis_RV_ES",-0.58321110551032,-0.390460456852749,0.118450338722677,-0.0367504803464268,0.00446267642284698,0.0494140593475349,-0.0804613921762645,0.00916842670865032,-0.124978981936443,0.0110483605782428
"heart_shape_LeastAxis_RV_ES",-0.720336907941527,-0.235483125952651,0.0267973074922247,-0.0523835349876083,0.0567887994375021,0.0714526483487792,-0.158017009846565,0.08842876302206,0.0524247085652724,-0.0370284046805275
"heart_shape_Elongation_RV_ES",-0.191287746338674,-0.231623399037191,0.0955230347374064,-0.102114052540335,0.0245120654798392,0.0456680046797913,-0.0316131735411112,-0.0334706592989493,-0.114454709768025,0.0369483459879304
"heart_shape_Flatness_RV_ES",-0.191819107809675,-0.0171739371629855,-0.0146440992408072,-0.136886671301832,0.0902314403008687,0.0677296524067169,-0.0959663614225645,0.0223971741740608,0.0757285621402285,-0.0100893497614125
"heart_shape_Volume_MYO_ED",-0.907567388276453,-0.02738256975041,0.114258965595198,0.06257999175887,-0.123504166419201,0.078058733185674,0.0431671502745793,0.00176131023369539,-0.109907797506834,0.00324809367271604
"heart_shape_SurfaceArea_MYO_ED",-0.8272841975127,-0.207888185753688,0.167022032048348,0.0705408054182393,-0.157897569959875,0.0843504632224407,-0.0110737684072239,0.0376442903732662,-0.0700432137654844,0.00693481937765718
"heart_shape_SurfaceAreatoVolumeRatio_MYO_ED",0.800123278173122,-0.208943863548477,0.00476240773788973,-0.028241671805884,-0.00119476883139383,-0.0857583444081922,-0.0884595599406098,0.019000456687699,0.086119017726318,-0.0754749696476134
"heart_shape_Sphericity_MYO_ED",-0.392849120824645,0.414991225813963,-0.122772963620619,0.00331737796442184,0.0982471173202515,0.0257547447122994,0.13534853264221,-0.0516713183276559,-0.0716341546267101,0.0570265120154796
"heart_shape_Max3Ddiameter_MYO_ED",-0.655906659338447,-0.152844548034843,0.121374119906017,0.0226613650162079,-0.1474805055025,0.0674791832267261,0.0132361432761228,0.0805568236279916,0.0925284638669269,0.0507503523709274
"heart_shape_Max2DdiameterSlice_MYO_ED",-0.538891668988996,-0.120650011216663,0.165744032787516,0.0287888807132894,-0.123567918249454,0.0693684298051212,-0.0317708253693143,0.153339236513861,-0.106425966413365,-0.0306009442327291
"heart_shape_Max2DdiameterColumn_MYO_ED",-0.7619233247254,-0.193159742394572,0.128546084654526,0.0254402563323411,-0.195231792110938,0.0715123605028825,0.0338943566989846,-0.0112338688767783,0.0596680457153479,0.0461146766195969
"heart_shape_Max2DdiameterRow_MYO_ED",-0.674930335857082,-0.194177578548668,0.112337544917463,0.0395465584824611,-0.166079998321859,0.0810742719953763,0.0424388614736915,0.0737951016159619,0.0869933246440383,0.0556818073372834
"heart_shape_MajorAxis_MYO_ED",-0.748356249333965,-0.167287689739935,0.143507149664857,0.0486007244624705,-0.158605693641214,0.0604584834239663,0.00711919917846396,0.0530342185411044,0.100217953829808,0.0352717370894629
"heart_shape_MinorAxis_MYO_ED",-0.709218049232219,-0.245876202876044,0.16990536710944,0.0653510686294815,-0.159488553117529,0.117937149654159,-0.0913837290962669,0.0585366113768752,-0.164011568666335,0.0250033609724939
"heart_shape_LeastAxis_MYO_ED",-0.737559349415939,-0.310083023086043,0.140529261698843,0.07570471257478,-0.166192133131893,0.0715920501120247,-0.0346080392448449,-0.00948667200289784,-0.0871743337201905,0.0436024390148848
"heart_shape_Elongation_MYO_ED",0.107325936645474,-0.0743576030454452,0.0176288470019344,0.0177107784021705,0.00965807789437617,0.0495159772080545,-0.108281572636,0.0154913055036127,-0.306701572807861,-0.0117201733032179
"heart_shape_Flatness_MYO_ED",0.081862405490337,-0.149631887076886,-0.0169080823183687,0.0339793172515685,0.00619162658935574,-0.0015494810065255,-0.0426166608174438,-0.0648317326872865,-0.218892816284737,0.00929975992994168
"heart_shape_Volume_MYO_ES",-0.90583480573639,0.020400951843493,0.103625510221935,0.0770614975376992,-0.122117226130726,0.072342701215899,0.0603582268929496,-0.0189706215114191,-0.117161846624039,-0.00468921478336968
