"","V1","V2","V3"
"heart_intensity_RootMeanSquared_MYO_ES",-0.140881806121922,0.924334432416855,0.100271778835516
"heart_intensity_Skewness_MYO_ES",0.0812615490935939,-0.137390195649266,-0.0892014809720362
"heart_intensity_Kurtosis_MYO_ES",0.228138966488787,0.36669583848007,-0.148964033657094
"heart_intensity_Variance_MYO_ES",-0.650049289866842,0.361887527660649,0.192385503307804
"heart_intensity_Uniformity_MYO_ES",0.759189353625947,-0.0279287319797438,-0.263809467453522
"heart_texture_Autocorrelation_glcm_MYO_ED",-0.126757900628697,0.900444127429536,0.00632479384612353
"heart_texture_JointAverage_glcm_MYO_ED",-0.1051444526152,0.904013007162949,0.00563214011320837
"heart_texture_ClusterProminence_glcm_MYO_ED",-0.311934636551679,0.222931787097374,0.0164662514291662
"heart_texture_ClusterShade_glcm_MYO_ED",-0.334276395201915,0.224624077919488,-0.0183685706966379
"heart_texture_ClusterTendency_glcm_MYO_ED",-0.635291668518239,0.311788060980265,-0.0585865222863359
"heart_texture_Contrast_glcm_MYO_ED",-0.76904503316255,0.329493393598284,-0.235157054911102
"heart_texture_Correlation_glcm_MYO_ED",0.0291791693184935,0.0863685581732568,0.337165390824457
"heart_texture_DifferenceAverage_glcm_MYO_ED",-0.857176986340722,0.190559786942728,-0.301975421050921
"heart_texture_DifferenceEntropy_glcm_MYO_ED",-0.824107591807999,0.244382999787273,-0.318069479841304
"heart_texture_DifferenceVariance_glcm_MYO_ED",-0.656653738358947,0.412223720708038,-0.200070946203867
"heart_texture_JointEnergy_glcm_MYO_ED",0.722594039460682,-0.0437031240190132,0.150727751839689
"heart_texture_JointEntropy_glcm_MYO_ED",-0.844509454237747,0.211428572156327,-0.218562816987906
"heart_texture_InformalMeasureofCorrelation1_glcm_MYO_ED",-0.147063693805226,-0.16149244810538,-0.314671936893374
"heart_texture_InformalMeasureofCorrelation2_glcm_MYO_ED",-0.153823133188988,0.291676486775859,0.195750895885093
"heart_texture_InverseDifferenceMoment_glcm_MYO_ED",0.844930340175052,-0.102149286524066,0.311691416454261
"heart_texture_InverseDifferenceMomentNormalized_glcm_MYO_ED",0.307465425670216,0.636159846614128,0.103742979328049
"heart_texture_InverseDifference_glcm_MYO_ED",0.834021555253401,-0.0933043691234721,0.304690979997274
"heart_texture_InverseDifferenceNormalized_glcm_MYO_ED",0.485773961623162,0.567773731556981,0.159923713670189
"heart_texture_InverseVariance_glcm_MYO_ED",-0.578553384780064,-0.0382827066764209,-0.196517842386064
"heart_texture_MaximumProbability_glcm_MYO_ED",0.634391212162949,-0.0452180179418876,0.122609806496681
"heart_texture_SumAverage_glcm_MYO_ED",-0.105144454032648,0.904013007581431,0.0056321410272563
"heart_texture_SumEntropy_glcm_MYO_ED",-0.813435664720016,0.239946664847026,-0.144731529982667
"heart_texture_SumofSquares_glcm_MYO_ED",-0.69861794795991,0.32852666269718,-0.113557462145739
"heart_texture_Autocorrelation_glcm_MYO_ES",-0.21941082038119,0.817425570058273,0.110497291436034
"heart_texture_JointAverage_glcm_MYO_ES",-0.206735707178548,0.819060238727356,0.0980469083918144
"heart_texture_ClusterProminence_glcm_MYO_ES",-0.295160325337178,0.179997262211984,0.0695771181945244
"heart_texture_ClusterShade_glcm_MYO_ES",-0.280293729072903,0.161867029138543,0.0587353893077528
"heart_texture_ClusterTendency_glcm_MYO_ES",-0.649117733705425,0.257317196125192,0.274040783089049
"heart_texture_Contrast_glcm_MYO_ES",-0.81169230340919,0.1900199345376,-0.00501932340729362
"heart_texture_Correlation_glcm_MYO_ES",-0.0544144900066507,0.109013060626775,0.514328276266252
"heart_texture_DifferenceAverage_glcm_MYO_ES",-0.889695457505249,0.0224145586021263,-0.0299997265122662
"heart_texture_DifferenceEntropy_glcm_MYO_ES",-0.884543169538399,0.109794150745126,-0.0437659740527379
"heart_texture_DifferenceVariance_glcm_MYO_ES",-0.722710184334519,0.287945428502778,-0.000584338608591206
"heart_texture_JointEnergy_glcm_MYO_ES",0.765852779848502,0.055097039852751,-0.189084135399914
"heart_texture_JointEntropy_glcm_MYO_ES",-0.870112683046624,0.0751339729601575,0.193119619740353
"heart_texture_InformalMeasureofCorrelation1_glcm_MYO_ES",-0.104084770437434,-0.197548657248161,-0.496115063609639
"heart_texture_InformalMeasureofCorrelation2_glcm_MYO_ES",-0.136809341642791,0.203193264364414,0.487063860697155
"heart_texture_InverseDifferenceMoment_glcm_MYO_ES",0.879605550518582,0.0437333245451953,0.0359245429777718
"heart_texture_InverseDifferenceMomentNormalized_glcm_MYO_ES",0.319905172132062,0.695513063632706,0.114292702367441
"heart_texture_InverseDifference_glcm_MYO_ES",0.873986689937316,0.0635916277914938,0.034754266926014
"heart_texture_InverseDifferenceNormalized_glcm_MYO_ES",0.551315318394766,0.597949461771229,0.0999947398332049
"heart_texture_InverseVariance_glcm_MYO_ES",-0.786605260973445,-0.187417823182373,-0.0283567287230543
"heart_texture_MaximumProbability_glcm_MYO_ES",0.699552029603565,0.0745965318460191,-0.174538344811274
"heart_texture_SumAverage_glcm_MYO_ES",-0.206735707617923,0.81906023889463,0.0980469064028763
"heart_texture_SumEntropy_glcm_MYO_ES",-0.789046593770061,0.0950301160001392,0.2968800134646
"heart_texture_SumofSquares_glcm_MYO_ES",-0.718722517669313,0.254337932870815,0.222742874321638
"heart_texture_SmallAreaEmphasis_glszm_MYO_ED",0.0682161232845068,0.409113754394414,-0.0142615549786526
"heart_texture_LargeAreaEmphasis_glszm_MYO_ED",0.619998062465803,-0.078283485516184,0.606379434040103
"heart_texture_GrayLevelNonUniformity_glszm_MYO_ED",-0.0806264899295134,-0.207390282154034,0.436950429131071
"heart_texture_GrayLevelNonUniformityNormalized_glszm_MYO_ED",0.396539874573157,-0.638876119367089,0.149103001846958
"heart_texture_SizeZoneNonUniformity_glszm_MYO_ED",-0.0806264899295135,-0.207390282154034,0.436950429131071
"heart_texture_SizeZoneNonUniformityNormalized_glszm_MYO_ED",0.0742071504274866,0.420789599908541,-0.0236704195731707
"heart_texture_ZonePercentage_glszm_MYO_ED",-0.56307914330006,0.319011703753132,-0.34815359151475
"heart_texture_GrayLevelVariance_glszm_MYO_ED",-0.255608280370547,0.756406638267536,-0.128522423335236
"heart_texture_ZoneVariance_glszm_MYO_ED",0.620956849914999,-0.0765991455483599,0.609081774503106
"heart_texture_ZoneEntropy_glszm_MYO_ED",-0.503227001336054,0.379496370512903,-0.01003181465724
"heart_texture_LowGrayLevelZoneEmphasis_glszm_MYO_ED",0.0652177144166151,-0.712002918556799,0.0137428780199596
"heart_texture_HighGrayLevelZoneEmphasis_glszm_MYO_ED",-0.218935073198247,0.853208443558511,-0.0756460987297855
"heart_texture_SmallAreaLowGrayLevelEmphasis_glszm_MYO_ED",0.108818164778187,-0.622013601336785,0.0318147866036234
"heart_texture_SmallAreaHighGrayLevelEmphasis_glszm_MYO_ED",-0.19473775024179,0.844366030298888,-0.0878791896516073
"heart_texture_LargeAreaLowGrayLevelEmphasis_glszm_MYO_ED",0.386958184108717,-0.478933191818484,0.348209502904068
"heart_texture_LargeAreaHighGrayLevelEmphasis_glszm_MYO_ED",0.52703331889466,0.371332463578218,0.51086650113992
"heart_texture_SmallAreaEmphasis_glszm_MYO_ES",0.0728868602179125,0.175360989156972,0.0598098479513327
"heart_texture_LargeAreaEmphasis_glszm_MYO_ES",0.68595944205011,-0.11378607640445,0.453873946146534
"heart_texture_GrayLevelNonUniformity_glszm_MYO_ES",0.0609017165333128,-0.168638718584725,0.302300851382814
"heart_texture_GrayLevelNonUniformityNormalized_glszm_MYO_ES",0.414291013431834,-0.503166486344901,-0.211534559098932
"heart_texture_SizeZoneNonUniformity_glszm_MYO_ES",0.0609017165333128,-0.168638718584725,0.302300851382814
"heart_texture_SizeZoneNonUniformityNormalized_glszm_MYO_ES",0.0841599015955594,0.172453311661143,0.0378514201490456
"heart_texture_ZonePercentage_glszm_MYO_ES",-0.554104691845253,0.302852872456437,-0.221233083307762
"heart_texture_GrayLevelVariance_glszm_MYO_ES",-0.3757590251351,0.63891004201937,0.0497878227388495
"heart_texture_ZoneVariance_glszm_MYO_ES",0.69154713393384,-0.109454711375079,0.459848167722601
"heart_texture_ZoneEntropy_glszm_MYO_ES",-0.457466724206553,0.416809769205676,0.264165021563588
"heart_texture_LowGrayLevelZoneEmphasis_glszm_MYO_ES",0.106203720605026,-0.692920054586131,-0.0991558680709426
"heart_texture_HighGrayLevelZoneEmphasis_glszm_MYO_ES",-0.265276526101631,0.788884122292936,0.103720464841261
"heart_texture_SmallAreaLowGrayLevelEmphasis_glszm_MYO_ES",0.134782493702913,-0.631201576049065,-0.0895194393716844
"heart_texture_SmallAreaHighGrayLevelEmphasis_glszm_MYO_ES",-0.236185768037457,0.771405520862153,0.0941392083189102
"heart_texture_LargeAreaLowGrayLevelEmphasis_glszm_MYO_ES",0.407048758014295,-0.419811121199007,0.177369895608531
"heart_texture_LargeAreaHighGrayLevelEmphasis_glszm_MYO_ES",0.481616461260156,0.389294307363404,0.448893301116332
"heart_texture_ShortRunEmphasis_glrlm_MYO_ED",-0.78895367098945,0.0297916085513807,-0.40258236696551
"heart_texture_LongRunEmphasis_glrlm_MYO_ED",0.752444385791961,-0.0404585857443949,0.403089622899107
"heart_texture_GrayLevelNonUniformity_glrlm_MYO_ED",0.405790053659007,-0.0769566299167986,0.834040211234161
"heart_texture_GrayLevelNonUniformityNormalized_glrlm_MYO_ED",0.80110739169676,-0.138772516756952,0.204672253798017
"heart_texture_RunLengthNonUniformity_glrlm_MYO_ED",-0.312418651408342,-0.0409643970674556,0.773466270636654
"heart_texture_RunLengthNonUniformityNormalized_glrlm_MYO_ED",-0.784045545646755,0.0114118813242472,-0.391652793688589
"heart_texture_RunPercentage_glrlm_MYO_ED",-0.780531820595067,0.0016988963758149,-0.395631173259003
"heart_texture_GrayLevelVariance_glrlm_MYO_ED",-0.602719661167679,0.421130872094886,-0.119830138744126
"heart_texture_RunVariance_glrlm_MYO_ED",0.735120281853793,-0.032874865163094,0.396570465907808
"heart_texture_RunEntropy_glrlm_MYO_ED",0.0221879439053451,0.473550464919882,0.260099609851598
"heart_texture_LowGrayLevelRunEmphasis_glrlm_MYO_ED",0.0113527402203547,-0.817373821492023,-0.0299024326245411
"heart_texture_HighGrayLevelRunEmphasis_glrlm_MYO_ED",-0.188839700772646,0.911509725621509,-0.0213892269995056
"heart_texture_ShortRunLowGrayLevelEmphasis_glrlm_MYO_ED",-0.0643366770615759,-0.819902901453589,-0.0672443711746795
"heart_texture_ShortRunHighGrayLevelEmphasis_glrlm_MYO_ED",-0.306870492219453,0.877090492807911,-0.0817681021524932
